ID,x/q公式,变量映射,变量范围,公式名字
2,y = 9.27401·q1·x2·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 100]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(1)
3,y = q1·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 100]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(2)
4,y = q1·x1,"x1=E
q1=α","x1: [-1.00, 1.00]
q1: [0, 1.00]",诱导偶极矩与极化能(1)
5,y = -(1/2)·q1·x1^2,"x1=E
q1=α","x1: [-1.00, 1.00]
q1: [0, 1.00]",诱导偶极矩与极化能(2)
7,y = q1·8.85419·x1/x2,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [1.00, 10000]
x2: [1.00, 100]
x3: [-1.00, 1.00]
x4: [-1.00, 1.00]
q1: [1, 1000]
q2: [0, 1000]",电容公式 / 电磁本构关系(1)
8,y = (q1·8.85419)·x3,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [1.00, 10000]
x2: [1.00, 1000]
x3: [-1.00, 1.00]
x4: [-1.00, 1.00]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(2)
9,y = q2·x4,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [1.00, 10000]
x2: [1.00, 1000]
x3: [-1.00, 1.00]
x4: [-1.00, 1.00]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(3)
11,y = -q1·x1,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-1.00e+3, 1.00e+3]
x2: [1.00, 1000]
x3: [-10000, 10000]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(1)
12,y = x2·q2·x3,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-1.00e+3, 1.00e+3]
x2: [1.00, 1000]
x3: [-10000, 10000]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(2)
13,y = 1.60218·x1·q1,"x1=n
q1=μ","x1: [0, 1.00e+3]
q1: [0, 10]",电导率关系 (σ=nqμ)
14,y = 2·x1·q1·x2,"x1=d
x2=t
q1=D","x1: [1.00, 1000]
x2: [1.00, 1.00e+6]
q1: [0, 0.001]",爱因斯坦扩散关系
16,y = 2·q1/x1,"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [1.00e-9, 10]
x2: [0, 3.14159]
x3: [0.1, 30000]
x4: [1.00e-9, 0.1]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(1)
17,y = 2·q1·cos(x2)/(x3·9.80665·x4),"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [1.00e-9, 10]
x2: [0, 3.14159]
x3: [0.1, 30000]
x4: [1.00e-9, 0.1]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(2)
18,y = (6.62607·x1 - q1)/1.602,"x1=ν
q1=Φ","x1: [0, 1.00]
q1: [0, 10]",光电效应方程
22,y = sqrt( 2.97046·q1·x1/(x2·x3) ),"x1=D_ls
x2=D_l
x3=D_s
q1=M","x1: [1.00e-3, 1.00e+3]
x2: [1.00e-3, 1.00e+3]
x3: [1.00e-3, 1.00e+3]
q1: [1.00e-10, 1.00e+5]",引力透镜爱因斯坦角
23,y = q1·x1,"x1=N
q1=μf","x1: [0, 1.00e+3]
q1: [0, 2]",库仑摩擦定律
24,y = q1·x1,"x1=γ̇
x2=R
x3=L
x4=ΔP
q1=η","x1: [0, 1.00e+3]
x2: [1.00e-6, 1]
x3: [1.00e-6, 1000]
x4: [0, 1.00e+3]
q1: [1.00e-6, 1.00e+3]",牛顿粘性定律 / 泊肃叶定律(1)
25,y = (0.392699·x2^4/(q1·x3))·x4,"x1=γ̇
x2=R
x3=L
x4=ΔP
q1=η","x1: [0, 1.00e+3]
x2: [1.00e-6, 1]
x3: [1.00e-6, 1000]
x4: [0, 1.00e+8]
q1: [1.00e-6, 1.00e+3]",牛顿粘性定律 / 泊肃叶定律(2)
