ID,x/q公式,变量映射,变量范围,公式名字
1,y = 8.98755·q1·q2 / x1^2,"x1=r
q1=q1
q2=q2","x1: [1, 10]
q1: [-10, 10]
q2: [-10, 10]",库仑定律
2,y = 9.27401·q1·x2·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 10]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(1)
3,y = q1·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 10]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(2)
5,y = -(1/2)·q1·x1^2,"x1=E
q1=α","x1: [-10, 10]
q1: [0, 1.00]",诱导偶极矩与极化能(2)
7,y = q1·8.85419·x1/x2,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [1, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 1000]
q2: [0, 1000]",电容公式 / 电磁本构关系(1)
8,y = (q1·8.85419)·x3,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [0, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(2)
9,y = q2·x4,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [0, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(3)
10,y = q1 + q2/(x1 + 1)^2,"x1=λ_scaled
q1=A
q2=B","x1: [1, 10]
q1: [0.5, 5]
q2: [-10, 10]",Cauchy 折射率色散（简化式）
11,y = -q1·x1,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-10, 10]
x2: [0, 10]
x3: [-10, 10]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(1)
12,y = x2·q2·x3,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-10, 10]
x2: [0, 10]
x3: [-10, 10]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(2)
13,y = 1.60218·x1·q1,"x1=n
q1=μ","x1: [0, 10]
q1: [0, 10]",电导率关系 (σ=nqμ)
14,y = 2·x1·q1·x2,"x1=d
x2=t
q1=D","x1: [0, 10]
x2: [0, 10]
q1: [0, 0.001]",爱因斯坦扩散关系
15,y = q1·exp(-q2/(8.31446·(x1 + 273.15))),"x1=T_C
q1=A
q2=Ea","x1: [1, 10]
q1: [0, 1.00e+8]
q2: [1000, 1.00e+5]",Arrhenius 反应速率常数（摄氏输入）
