ID,x/q公式,变量映射,变量范围,公式名字
1,y = 8.98755·q1·q2 / x1^2,"x1=r
q1=q1
q2=q2","x1: [0, 10]
q1: [-10, 10]
q2: [-10, 10]",库仑定律
2,y = 9.27401·q1·x2·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 10]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(1)
3,y = q1·x1,"x1=B
x2=ms
q1=g
q2=γ","x1: [0, 10]
x2: [-10, 10]
q1: [0, 10]
q2: [-1.00e+3, 1.00e+3]",塞曼分裂 / 拉莫尔进动(2)
4,y = q1·x1,"x1=E
q1=α","x1: [-10, 10]
q1: [0, 1.00]",诱导偶极矩与极化能(1)
5,y = -(1/2)·q1·x1^2,"x1=E
q1=α","x1: [-10, 10]
q1: [0, 1.00]",诱导偶极矩与极化能(2)
6,y = q1·x1  （单分量/等效模量写法）；一般为 σ_ij = q1_ijkl·ε_kl,"x1=σ_ij
x1=ε_kl
q1=C_ijkl(或等效 E,G,ν)","y: [-1.00, 1.00]
x2: [-10, 10]
q1: [1000, 1.00e+5]",广义胡克定律
7,y = q1·8.85419·x1/x2,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [0, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 1000]
q2: [0, 1000]",电容公式 / 电磁本构关系(1)
8,y = (q1·8.85419)·x3,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [0, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(2)
9,y = q2·x4,"x1=A
x2=d
x3=E
x4=H
q1=εr(或 ε)
q2=μ(或 μr)","x1: [0, 10]
x2: [0, 10]
x3: [-10, 10]
x4: [-10, 10]
q1: [1, 100000]
q2: [0, 1000]",电容公式 / 电磁本构关系(3)
10,y = 2.99792 / q1(x2),"x1=v_phase
x2=λ
q1=n(λ)","x1: [0, 10]
x2: [0, 10]
q1: [0.5, 5]",折射率定义 (n=c/v)
