fold,family,median_entity_physical_nrmse
0,coarse_cc,0.08136746803585315
0,v_T,0.0307329694975008
0,v_inv2,0.03631314551474285
0,v_log,0.01104697672231365
1,coarse_cc,0.0455603161019017
1,v_T,0.012225785338076
1,v_inv2,0.0103533683628955
1,v_log,0.01015252463258845
2,coarse_cc,0.0413530273932856
2,v_T,0.01802177426207545
2,v_inv2,0.015911476498601
2,v_log,0.0155534673994303
3,coarse_cc,0.03866533308138595
3,v_T,0.0087052917251774
3,v_inv2,0.0071592134372315
3,v_log,0.0054802329784568
4,coarse_cc,0.024871518681861153
4,v_T,0.0126295171266128
4,v_inv2,0.0121410388217422
4,v_log,0.01243076646685495
