status,dataset,method,seed,source_result,anchor_labels,structure_validation_labels,query_target_leakage_max_q_difference,convex_weight_sum_max_abs_error,convex_min_weight,raw_q_validation_max_abs_z,functional_validation_max_abs_z,convex_reference_nrmse,unconstrained_reference_nrmse,prediction_nrmse_ratio,effective_anchors_median,max_anchor_weight_median
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed0_q4_ed200e16f4e6/result.json,8,5,0.0,7.031826498860029e-08,1.155587824541726e-06,2.192302051401592,2.30682587509707,1.9426106309649436,1.6293931007385254,1.19222956699918,1.7750368566458912,0.7393788695335388
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed1_q4_c01494fc23c7/result.json,8,5,0.0,7.350013220275288e-08,1.8710269955590775e-07,2.2131128221014227,1.6263434131158925,1.3107053848843089,1.386078953742981,0.9456210133952812,1.0003253749286074,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed2_q4_dc2cfd5bb864/result.json,8,5,0.0,7.102057963948027e-08,1.874754644859422e-07,2.09431724327936,1.3051713028004797,1.8298653813764807,1.463534951210022,1.2503052146883027,1.0003238618824315,0.9999761581420898
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed3_q4_8c7bd68b9982/result.json,8,5,0.0,8.184200339655946e-08,1.847154322831557e-07,2.471244845672888,2.421580282412469,2.0442254972116176,0.9645244479179382,2.119412837719527,1.0003281038092893,0.9999758005142212
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed4_q4_7d347c9c389e/result.json,8,5,0.0,9.016429203256848e-08,1.8685001634821677e-07,1.5522833228378323,1.5604044977576108,1.6963626908379337,1.002652883529663,1.691874345253152,1.0003257706657742,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed0_q4_55936bac92a3/result.json,8,5,0.0,1.0447740805830109e-07,1.7759344927981149e-06,1.924763993306236,2.014226167925692,0.8810739299613317,1.486914038658142,0.5925520286004242,1.376497417647675,0.9025759696960448
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed1_q4_3ba7b5304459/result.json,8,5,0.0,9.22273102332838e-08,1.5021760191302749e-06,2.347746292146726,2.542168692011038,0.6791298783432164,1.1584558486938477,0.5862371700302014,1.6004669957964446,0.8208239078521729
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed2_q4_8acc21f84a09/result.json,8,5,0.0,5.301573935412308e-08,1.8620629305132755e-07,2.520184859003366,2.364862800643076,0.7883982850602319,1.1112419366836548,0.7094749208377571,1.0003255982567576,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed3_q4_6e2d17c34741/result.json,8,5,0.0,5.5556256484123885e-08,9.398507359037468e-07,2.5467263207668367,2.387833343048479,0.7825657756028243,1.378178596496582,0.5678260985855944,1.7605100254349413,0.7476510405540466
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed4_q4_a8400486f916/result.json,8,5,0.0,6.635673344135284e-08,3.4209267596452264e-06,2.2335314311296486,1.8902955715114635,0.6968536018788068,1.7344210147857666,0.4017788045337315,2.1543176879268637,0.6779720783233643
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed0_q4_bc802abc5717/result.json,8,5,0.0,9.96515154838562e-08,1.838991892100239e-07,2.320869543643797,2.350521682651864,2.020170179860325,1.6654924154281616,1.2129566974587416,1.000325761931781,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed1_q4_fad16536e188/result.json,8,5,0.0,6.770005711587146e-08,1.840992212009951e-07,2.492349903247121,2.429251344766464,1.9146448850692916,0.9608731865882874,1.9926093388738444,1.0003262796830443,0.9999759197235109
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed2_q4_83af1173282b/result.json,8,5,0.0,6.71059297019383e-08,1.8384378108748933e-07,2.499694454006186,2.4982514078317446,1.9851225292257773,1.1694101095199585,1.697541788860255,1.0003254813668383,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed3_q4_b28f016a3f81/result.json,8,5,0.0,8.331016942975111e-08,1.83967244993255e-07,2.5318084505369605,2.527397902823211,1.918851358602128,1.0807901620864868,1.7754152710806943,1.0003257107505807,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed4_q4_f34dded37ea6/result.json,8,5,0.0,7.378389454970603e-08,1.8378190702605934e-07,2.165363334227905,2.3434737604936458,1.678125930641137,1.1931607723236084,1.4064541590426982,1.00032620917057,0.9999759197235109
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed0_q4_0e59d419d083/result.json,8,5,0.0,4.18567651649937e-08,3.770327793972683e-06,1.372116845737644,1.1695722866463687,1.1968341058745169,0.6426151990890503,1.862442885837603,1.8384230689574097,0.7193441390991211
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed1_q4_735a5ab3571f/result.json,8,5,0.0,8.62910383148119e-08,1.030071871355176e-06,1.8708679815693172,1.9623878198714928,1.08357949913352,1.043276309967041,1.0386313661888404,1.9750309578020384,0.7466955184936523
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed2_q4_3dc9cc858e16/result.json,8,5,0.0,1.0679286788217725e-07,3.424693204578944e-06,2.426255060959158,1.5017408906880272,1.2669075412596715,0.5819851160049438,2.176872752273117,1.8292072392576424,0.8128833770751953
