label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0006,meta_fit,-0.1830064952373504,0.1295941323041916,-0.3914085924625397,0.2281467318534851,1.0,0.0189424585551023,0.0005129468045197,1.0,1.0,37.0,13.0,0.0,0.0,2.0280110836029053,0.0078114802017807,2.0280110836029053,1.957707762718201,1.907240390777588,1.878946304321289,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218256652355194,-0.0178970396518707,-0.2860694229602813,0.3852682411670685,2.0,0.0020619444549083,0.1292147785425186,1.0,1.0,37.0,13.0,0.0,0.0,1.97080659866333,0.0030921299476176,1.97080659866333,1.9429774284362795,1.91742479801178,1.8766140937805176,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3579824864864349,0.6413078308105469,-0.1186630278825759,0.6584565043449402,0.0,0.0010748689528554,0.1958940923213958,0.0,0.0,8.0,8.0,0.0,0.0,1.9173766374588013,0.0063689150847494,1.9173766374588013,1.8600564002990725,1.8311396837234497,1.828720569610596,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.275471419095993,-0.170367807149887,-0.2164658606052398,0.1240967214107513,1.0,0.0004514990723691,0.2983242869377136,0.0,0.0,8.0,8.0,0.0,0.0,1.957433819770813,0.001129905343987,1.957433819770813,1.947264671325684,1.916470289230347,1.886478304862976,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053429663181305,-0.1330115348100662,-0.1517429798841476,0.3169402778148651,3.0,0.0183352958410978,0.3624599575996399,0.0,0.0,12.0,12.0,0.0,0.0,2.0260040760040283,0.0026226043701171,2.0260040760040283,2.0024006366729736,1.941493272781372,1.9142358303070068,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.250413715839386,0.0065543898381292,-0.2685621082782745,0.183162972331047,2.0,0.0176796093583107,0.6631620526313782,0.0,0.0,12.0,12.0,0.0,0.0,1.9950385093688965,0.0042125382460653,1.9950385093688965,1.957125663757324,1.907063364982605,1.8715006113052368,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0103542869910597,0.152529701590538,0.1704290360212326,0.1147758886218071,3.0,0.1134081855416297,0.0205146465450525,1.0,1.0,42.0,15.0,0.0,0.0,1.5728386640548706,-0.0102874832227826,1.5728386640548706,1.6654260158538818,1.718954086303711,1.7159500122070312,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3203471601009369,-0.2469647079706192,0.0656394138932228,-0.3004489243030548,2.0,0.0110779171809554,0.1950465738773346,0.0,0.0,14.0,14.0,0.0,0.0,1.2116941213607788,-0.0201821848750114,1.2116941213607788,1.3933337926864624,1.4626697301864624,1.4789972305297852,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1830525547266006,0.1290587335824966,-0.3907775282859802,0.2274201661348343,3.0,0.0188679192215204,0.0001712220109766,1.0,1.0,37.0,13.0,0.0,0.0,2.0276575088500977,0.0077928700484335,2.0276575088500977,1.957521677017212,1.9070053100585935,1.878714084625244,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1264382749795913,-0.0037134503945708,-0.2852421700954437,0.3692266047000885,3.0,0.002158424584195,0.1176746413111686,1.0,1.0,37.0,13.0,0.0,0.0,1.9715900421142576,0.0033948288764804,1.9715900421142576,1.941036581993103,1.9159505367279053,1.872818112373352,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3564492464065552,0.6420402526855469,-0.1193867698311805,0.6569152474403381,0.0,0.0010799365118145,0.1920638382434845,0.0,0.0,8.0,8.0,0.0,0.0,1.9171180725097656,0.0063704121857881,1.9171180725097656,1.8597843647003172,1.8308805227279663,1.828585386276245,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.1778761595487594,0.0438188426196575,-0.3050009906291961,0.1453266441822052,1.0,0.0004444044607225,0.2375247925519943,0.0,0.0,8.0,8.0,0.0,0.0,1.9695391654968264,0.0032966402359306,1.9695391654968264,1.9398694038391116,1.8808567523956297,1.849869966506958,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.2320041507482528,-0.4501321911811828,-0.3051901757717132,0.3586191534996032,2.0,0.0183279663324356,0.362017810344696,0.0,0.0,12.0,12.0,0.0,0.0,1.978808641433716,0.001329289516434,1.978808641433716,1.9668450355529783,1.959879159927368,1.9365546703338623,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2496275901794433,0.0071027427911758,-0.2688879370689392,0.1841086596250534,2.0,0.0176840648055076,0.6612422466278076,0.0,0.0,12.0,12.0,0.0,0.0,1.995058536529541,0.0042243800126016,1.995058536529541,1.9570391178131104,1.907027244567871,1.871463656425476,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0079407338052988,0.147505521774292,0.1711032390594482,0.1246364489197731,1.0,0.1149025186896324,0.0227022245526313,1.0,1.0,42.0,15.0,0.0,0.0,1.577475666999817,-0.0101059144362807,1.577475666999817,1.668428897857666,1.7220064401626587,1.7183380126953125,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.1901676505804062,-0.3354900181293487,0.1232359334826469,-0.2257919311523437,3.0,0.0135606871917843,0.1925812363624572,0.0,0.0,14.0,14.0,0.0,0.0,1.2919871807098389,-0.0209057331085205,1.2919871807098389,1.4801387786865234,1.5323843955993652,1.5420910120010376,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1829778999090194,0.1268955618143081,-0.3860638439655304,0.2228297442197799,3.0,0.0180244892835617,0.0002525134477764,1.0,1.0,37.0,13.0,0.0,0.0,2.0252065658569336,0.0077250800095498,2.0252065658569336,1.9556808471679688,1.90494167804718,1.8766772747039795,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1657470911741256,0.1026132330298423,-0.301940768957138,0.1842140704393386,3.0,0.0032331349793821,0.1044842228293418,1.0,1.0,37.0,13.0,0.0,0.0,1.978665828704834,0.00599828036502,1.978665828704834,1.924681305885315,1.873097896575928,1.839289903640747,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3442120254039764,0.6495022177696228,-0.1249175369739532,0.6473857760429382,0.0,0.0011296829907223,0.1808273792266845,0.0,0.0,8.0,8.0,0.0,0.0,1.9150934219360352,0.006316979881376,1.9150934219360352,1.8582406044006348,1.8292484283447263,1.8277390003204343,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.5539392828941345,0.3939306139945984,-0.0260981507599353,0.4203228950500488,1.0,0.0005514805088751,0.1737807393074035,0.0,0.0,8.0,8.0,0.0,0.0,1.934353828430176,0.0063732732087373,1.934353828430176,1.8769943714141848,1.8289738893508911,1.8147414922714236,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.0424729995429515,-0.275869071483612,-0.3406248390674591,0.4299645125865936,1.0,0.0171640999615192,0.4153531789779663,0.0,0.0,12.0,12.0,0.0,0.0,1.9413611888885496,0.0018845796585083,1.9413611888885496,1.924399971961975,1.9097834825515747,1.8734959363937376,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2863425016403198,0.4375591278076172,-0.3447310626506805,-0.088055245578289,2.0,0.018745694309473,0.5163522958755493,0.0,0.0,12.0,12.0,0.0,0.0,1.9273065328598025,0.0063997902907431,1.9273065328598025,1.8697084188461304,1.812999963760376,1.7784101963043213,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0071782190352678,0.1442170143127441,0.1700849086046219,0.1225765421986579,3.0,0.1157264113426208,0.0161062199622392,1.0,1.0,42.0,15.0,0.0,0.0,1.5777376890182495,-0.0100835692137479,1.5777376890182495,1.6684898138046265,1.7222535610198977,1.7184885740280151,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,-0.3234270513057709,-0.755561351776123,0.3516048192977905,0.3063051104545593,0.0,0.0538851059973239,0.082396425306797,0.0,0.0,14.0,14.0,0.0,0.0,1.700541377067566,-0.0055774715729057,1.700541377067566,1.7507386207580566,1.7813304662704468,1.7578133344650269,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.203882023692131,0.3166014552116394,-0.3339480459690094,0.3816349506378174,1.0,0.0179910268634557,0.1870915293693542,1.0,1.0,37.0,13.0,0.0,0.0,2.0004079341888428,0.0081588691100478,2.0004079341888428,1.9269781112670896,1.884390950202942,1.8535422086715696,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
