status,dataset,method,seed,source_result,meta_fit_labels,prior_weights_scored,candidate_q_rows,query_target_leakage_max_q_difference
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed0_q4_f1c176eb43c0/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed1_q4_1edc9eca0f77/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed2_q4_3b0f3149b9a1/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed3_q4_e0e9b1822608/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed4_q4_0c999c1343bb/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed0_q4_6010043cf6cb/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed1_q4_dfc59665ae57/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed2_q4_debe082b341a/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed3_q4_4ab4aa152d78/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed4_q4_935a504d66cd/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed0_q4_ed54c9bbdf36/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed1_q4_214e222eeab0/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed2_q4_21607a57d9e9/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed3_q4_bed06b846208/result.json,8,5,40,0.0
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed4_q4_0b10c270d2b7/result.json,8,5,40,0.0
