label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0006,meta_fit,-0.1830064952373504,0.1295941323041916,-0.3914085924625397,0.2281467318534851,1.0,0.0189424585551023,0.0005129468045197,1.0,1.0,37.0,13.0,0.0,0.0,2.0280110836029053,0.0078114802017807,2.0280110836029053,1.957707762718201,1.907240390777588,1.878946304321289,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218256652355194,-0.0178970396518707,-0.2860694229602813,0.3852682411670685,2.0,0.0020619444549083,0.1292147785425186,1.0,1.0,37.0,13.0,0.0,0.0,1.97080659866333,0.0030921299476176,1.97080659866333,1.9429774284362795,1.91742479801178,1.8766140937805176,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3579824864864349,0.6413078308105469,-0.1186630278825759,0.6584565043449402,0.0,0.0010748689528554,0.1958940923213958,0.0,0.0,8.0,8.0,0.0,0.0,1.9173766374588013,0.0063689150847494,1.9173766374588013,1.8600564002990725,1.8311396837234497,1.828720569610596,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.275471419095993,-0.170367807149887,-0.2164658606052398,0.1240967214107513,1.0,0.0004514990723691,0.2983242869377136,0.0,0.0,8.0,8.0,0.0,0.0,1.957433819770813,0.001129905343987,1.957433819770813,1.947264671325684,1.916470289230347,1.886478304862976,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053429663181305,-0.1330115348100662,-0.1517429798841476,0.3169402778148651,3.0,0.0183352958410978,0.3624599575996399,0.0,0.0,12.0,12.0,0.0,0.0,2.0260040760040283,0.0026226043701171,2.0260040760040283,2.0024006366729736,1.941493272781372,1.9142358303070068,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.250413715839386,0.0065543898381292,-0.2685621082782745,0.183162972331047,2.0,0.0176796093583107,0.6631620526313782,0.0,0.0,12.0,12.0,0.0,0.0,1.9950385093688965,0.0042125382460653,1.9950385093688965,1.957125663757324,1.907063364982605,1.8715006113052368,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0103542869910597,0.152529701590538,0.1704290360212326,0.1147758886218071,3.0,0.1134081855416297,0.0205146465450525,1.0,1.0,42.0,15.0,0.0,0.0,1.5728386640548706,-0.0102874832227826,1.5728386640548706,1.6654260158538818,1.718954086303711,1.7159500122070312,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3203471601009369,-0.2469647079706192,0.0656394138932228,-0.3004489243030548,2.0,0.0110779171809554,0.1950465738773346,0.0,0.0,14.0,14.0,0.0,0.0,1.2116941213607788,-0.0201821848750114,1.2116941213607788,1.3933337926864624,1.4626697301864624,1.4789972305297852,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1829758435487747,0.1295103281736374,-0.3914510905742645,0.2282068729400634,0.0,0.0189161393791437,0.0003867760824505,1.0,1.0,37.0,13.0,0.0,0.0,2.0280141830444336,0.0078078242950141,2.0280141830444336,1.957743763923645,1.9072786569595337,1.8789787292480469,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218417882919311,-0.0177286155521869,-0.2862054109573364,0.3835600912570953,2.0,0.0020621202420443,0.1293207854032516,1.0,1.0,37.0,13.0,0.0,0.0,1.9706976413726809,0.0030945804901421,1.9706976413726809,1.942846417427063,1.9173483848571775,1.8764125108718872,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3579722642898559,0.6415907144546509,-0.1186611726880073,0.6587094068527222,0.0,0.0010753611568361,0.196012407541275,0.0,0.0,8.0,8.0,0.0,0.0,1.9173638820648196,0.0063652195967733,1.9173638820648196,1.860076904296875,1.8311760425567627,1.828743934631348,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.275170624256134,-0.1689322590827942,-0.2186764627695083,0.1224669218063354,1.0,0.0004492615407798,0.2983214259147644,0.0,0.0,8.0,8.0,0.0,0.0,1.957763671875,0.0011464754352346,1.957763671875,1.9474453926086424,1.916616439819336,1.886434555053711,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.405231773853302,-0.1326178312301635,-0.1518246978521347,0.3167665600776672,3.0,0.0183348562568426,0.3630166351795196,0.0,0.0,12.0,12.0,0.0,0.0,2.025976657867432,0.002626551548019,2.025976657867432,2.002337694168091,1.9414145946502688,1.9141340255737305,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2504059076309204,0.0053672939538955,-0.2685190737247467,0.1828602999448776,2.0,0.0176839008927345,0.6641584634780884,0.0,0.0,12.0,12.0,0.0,0.0,1.9948559999465945,0.0041708284988999,1.9948559999465945,1.9573185443878172,1.9072340726852417,1.871687412261963,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0113992113620042,0.1489798426628112,0.1707983016967773,0.1195747926831245,3.0,0.1132097989320755,0.0214603189378976,1.0,1.0,42.0,15.0,0.0,0.0,1.5731873512268066,-0.0102752316743135,1.5731873512268066,1.6656644344329834,1.71998393535614,1.7168432474136353,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3204617500305176,-0.2468094825744629,0.065582126379013,-0.3005934059619903,2.0,0.0110771795734763,0.1944221407175064,0.0,0.0,14.0,14.0,0.0,0.0,1.2116047143936155,-0.0201797615736722,1.2116047143936155,1.3932225704193115,1.4625859260559082,1.478935956954956,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1825302839279174,0.1289213448762893,-0.3915585577487945,0.2280014902353286,1.0,0.018954886123538,0.0002830549783539,1.0,1.0,37.0,13.0,0.0,0.0,2.0277421474456787,0.0077730547636747,2.0277421474456787,1.957784652709961,1.9072778224945068,1.878968596458435,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1215172410011291,-0.0182356853038072,-0.2864628434181213,0.3846585750579834,2.0,0.00205560028553,0.1295486539602279,1.0,1.0,37.0,13.0,0.0,0.0,1.9707586765289309,0.0030839443206787,1.9707586765289309,1.9430031776428225,1.9173856973648071,1.876652717590332,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3588260412216186,0.6445379853248596,-0.118812620639801,0.6608486175537109,0.0,0.0010812947293743,0.197219118475914,0.0,0.0,8.0,8.0,0.0,0.0,1.9173080921173096,0.0063266884535551,1.9173080921173096,1.8603678941726685,1.831588864326477,1.8290730714797971,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.289368063211441,-0.015346085652709,-0.2129626274108886,0.1329290866851806,1.0,0.0005473971250467,0.2494182735681533,0.0,0.0,8.0,8.0,0.0,0.0,1.9787143468856807,0.0038247108459472,1.9787143468856807,1.944291949272156,1.8946516513824463,1.860782265663147,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4050839245319366,-0.1303922832012176,-0.1520374715328216,0.3161755800247192,3.0,0.0183343365788459,0.3623499572277069,0.0,0.0,12.0,12.0,0.0,0.0,2.0259296894073486,0.0026578109245747,2.0259296894073486,2.002009391784668,1.940979480743408,1.9136404991149905,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2502501606941223,0.0056108837015926,-0.2683075070381164,0.1840189099311828,2.0,0.017683058977127,0.663438618183136,0.0,0.0,12.0,12.0,0.0,0.0,1.9949886798858645,0.0041917562484741,1.9949886798858645,1.9572628736495967,1.907295107841492,1.8717225790023804,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0107594393193721,0.1467807292938232,0.172415405511856,0.120130568742752,2.0,0.114276073873043,0.0228278581053018,1.0,1.0,42.0,15.0,0.0,0.0,1.5725001096725464,-0.0103423334658145,1.5725001096725464,1.6655811071395874,1.7201924324035645,1.7170885801315308,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3195796310901642,-0.2470933347940445,0.066473014652729,-0.2998053431510925,2.0,0.0110723413527011,0.1966183930635452,0.0,0.0,14.0,14.0,0.0,0.0,1.212019443511963,-0.0201796032488346,1.212019443511963,1.393635869026184,1.4630801677703855,1.4794155359268188,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1773462146520614,0.1223239675164222,-0.3916595876216888,0.2301253676414489,3.0,0.0191356241703033,0.0002466627629473,1.0,1.0,37.0,13.0,0.0,0.0,2.025387525558472,0.0074491500854492,2.025387525558472,1.9583451747894287,1.9079854488372805,1.879213809967041,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
