dataset,prior_weight,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,0.7903667214012042,0.5166940339354132
nasa_battery_capacity_reviewer_clean_inner0,0.001,0.8021346469622332,0.5747126436781609
nasa_battery_capacity_reviewer_clean_inner0,0.01,0.8092501368363436,0.6091954022988505
nasa_battery_capacity_reviewer_clean_inner0,0.1,0.7545155993431856,0.3656267104542967
nasa_battery_capacity_reviewer_clean_inner0,1.0,0.8527640941434045,0.8084291187739463
nasa_battery_capacity_reviewer_clean_inner1,0.0,0.40093048713738366,0.07936507936507936
nasa_battery_capacity_reviewer_clean_inner1,0.001,0.3943623426382047,0.10946907498631636
nasa_battery_capacity_reviewer_clean_inner1,0.01,0.342911877394636,0.19704433497536944
nasa_battery_capacity_reviewer_clean_inner1,0.1,0.3305966064586754,-0.05473453749315818
nasa_battery_capacity_reviewer_clean_inner1,1.0,0.573344280240832,0.08483853311439518
nasa_battery_capacity_reviewer_clean_inner2,0.0,0.6847290640394088,0.41215106732348106
nasa_battery_capacity_reviewer_clean_inner2,0.001,0.6642036124794746,0.42145593869731796
nasa_battery_capacity_reviewer_clean_inner2,0.01,0.6926655719759168,0.36672140120415986
nasa_battery_capacity_reviewer_clean_inner2,0.1,0.5886699507389163,0.4055829228243021
nasa_battery_capacity_reviewer_clean_inner2,1.0,0.7714833059660646,0.5166940339354132
