dataset,prior_weight,coordinate,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.0,matched_early_fade_rate,0.9761904761904763,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,0.001,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.001,matched_early_fade_rate,0.9761904761904763,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,0.01,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.01,matched_early_fade_rate,0.9761904761904763,0.9047619047619048
nasa_battery_capacity_reviewer_clean_inner0,0.1,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.1,matched_early_fade_rate,0.9523809523809524,0.9047619047619048
nasa_battery_capacity_reviewer_clean_inner0,1.0,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,1.0,matched_early_fade_rate,0.9761904761904763,0.9285714285714287
nasa_battery_capacity_reviewer_clean_inner1,0.0,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.0,matched_early_fade_rate,0.773809523809524,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,0.001,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.001,matched_early_fade_rate,0.773809523809524,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,0.01,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.01,matched_early_fade_rate,0.7500000000000001,0.38095238095238104
nasa_battery_capacity_reviewer_clean_inner1,0.1,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.1,matched_early_fade_rate,0.8452380952380953,0.5714285714285715
nasa_battery_capacity_reviewer_clean_inner1,1.0,matched_capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,1.0,matched_early_fade_rate,0.8928571428571429,0.7857142857142858
nasa_battery_capacity_reviewer_clean_inner2,0.0,matched_capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.0,matched_early_fade_rate,0.8690476190476191,0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,0.001,matched_capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.001,matched_early_fade_rate,0.8690476190476191,0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,0.01,matched_capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.01,matched_early_fade_rate,0.8214285714285716,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner2,0.1,matched_capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.1,matched_early_fade_rate,0.7976190476190478,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner2,1.0,matched_capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,1.0,matched_early_fade_rate,0.8333333333333335,0.4761904761904762
