dataset,prior_weight,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,0.9939792008757524,0.990695128626163
nasa_battery_capacity_reviewer_clean_inner0,0.001,0.9942528735632183,0.9901477832512315
nasa_battery_capacity_reviewer_clean_inner0,0.01,0.9934318555008209,0.9885057471264367
nasa_battery_capacity_reviewer_clean_inner0,0.1,0.9945265462506843,0.9737274220032841
nasa_battery_capacity_reviewer_clean_inner0,1.0,0.9953475643130816,0.9912424740010948
nasa_battery_capacity_reviewer_clean_inner1,0.0,0.9348659003831417,0.8741105637657363
nasa_battery_capacity_reviewer_clean_inner1,0.001,0.9340448823207443,0.8741105637657363
nasa_battery_capacity_reviewer_clean_inner1,0.01,0.9313081554460865,0.8620689655172413
nasa_battery_capacity_reviewer_clean_inner1,0.1,0.9480021893814998,0.9118773946360154
nasa_battery_capacity_reviewer_clean_inner1,1.0,0.9343185550082101,0.8746579091406678
nasa_battery_capacity_reviewer_clean_inner2,0.0,0.9942528735632183,0.9846743295019157
nasa_battery_capacity_reviewer_clean_inner2,0.001,0.9923371647509578,0.9835796387520527
nasa_battery_capacity_reviewer_clean_inner2,0.01,0.9942528735632183,0.9846743295019157
nasa_battery_capacity_reviewer_clean_inner2,0.1,0.9956212370005474,0.9896004378762999
nasa_battery_capacity_reviewer_clean_inner2,1.0,0.9942528735632183,0.9813902572523261
