status,dataset,method,seed,source_result,meta_fit_labels,structure_validation_labels,prior_weights_scored,selected_prior_weight,selected_support_loss_median,query_target_leakage_max_q_difference,raw_q_validation_max_abs_z,functional_validation_max_abs_z,selected_prior_validation_reference_nrmse,prefix_q_no_prior_reference_nrmse,selected_to_prefix_nrmse_ratio,old_method,old_reference_nrmse,selected_to_old_nrmse_ratio
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed0_q4_f1c176eb43c0/result.json,8,5,5,0.0,0.014378763269633,0.0,4.068989494695314,1.0827647404471272,1.3556455373764038,1.370261871675904,0.9893331817796084,joint_continuity_step1,1.6293931007385254,0.8319941558375048
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed1_q4_1edc9eca0f77/result.json,8,5,5,0.0,0.0089447405189275,0.0,4.130248756842662,1.890212548679035,1.318498611450195,1.2382315489600384,1.0648239519963545,joint_continuity_step1,1.386078953742981,0.9512435116987447
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed2_q4_3b0f3149b9a1/result.json,8,5,5,0.0,0.0106276907026767,0.0,7.3462961589063696,3.27323747541865,1.3880221843719482,1.3872049583330668,1.0005891170111323,joint_continuity_step1,1.463534951210022,0.9484038513903332
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed3_q4_e0e9b1822608/result.json,8,5,5,0.0,0.0121586127206683,0.0,5.978029883896274,2.3566657840099707,1.4427117109298706,1.4609284187211704,0.9875307321304312,joint_continuity_step1,0.9645244479179382,1.495775160540686
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed4_q4_0c999c1343bb/result.json,8,5,5,0.0,0.0138138202019035,0.0,5.98166484729966,1.9958844380988463,1.8400970697402956,1.71718036401352,1.071580544654893,joint_continuity_step1,1.002652883529663,1.8352284224851152
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed0_q4_6010043cf6cb/result.json,8,5,5,0.0,0.0222798204049468,0.0,8.998199761019965,4.127017951700231,1.8786461353302,1.9036616939946027,0.9868592414590692,joint_continuity_step1,1.486914038658142,1.2634530890740492
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed1_q4_dfc59665ae57/result.json,8,5,5,0.0,0.0223586242645978,0.0,9.54481944892296,3.8442975712626817,1.4819527864456177,1.4754300049392424,1.0044209359200635,joint_continuity_step1,1.1584558486938477,1.2792483961443253
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed2_q4_debe082b341a/result.json,8,5,5,0.0,0.0230240728706121,0.0,13.5483933522957,4.893885228002188,1.097332000732422,1.0761344427723811,1.019697871490323,joint_continuity_step1,1.1112419366836548,0.987482531488377
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed3_q4_4ab4aa152d78/result.json,8,5,5,0.0,0.0227081421762704,0.0,8.188262087795787,9.13437477091382,1.0353113412857056,1.0429365056733442,0.9926887549278796,joint_continuity_step1,1.378178596496582,0.751217109246605
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed4_q4_935a504d66cd/result.json,8,5,5,0.001,0.0229882756248116,0.0,6.890525615872265,4.380817420095839,1.6418564319610596,1.695088246386627,0.9685964347053668,joint_continuity_step1,1.7344210147857666,0.9466308456622682
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed0_q4_ed54c9bbdf36/result.json,8,5,5,0.0,0.0153328492306172,0.0,20.66365839130668,2.822998313548668,1.0936583280563354,1.5219480219755972,0.718591116296264,joint_continuity_step1,1.6654924154281616,0.6566576454658786
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed1_q4_214e222eeab0/result.json,8,5,5,0.001,0.0114997155033051,0.0,10.52132417176773,3.719310568174484,1.6615902185440063,1.677484677192401,0.9905248263280728,joint_continuity_step1,0.9608731865882874,1.7292502712493325
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed2_q4_21607a57d9e9/result.json,8,5,5,0.0,0.0113313724286854,0.0,7.032799290994556,5.537929892827932,1.1443973779678345,1.1543272634316435,0.9913976860996172,joint_continuity_step1,1.1694101095199585,0.9786108129658707
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed3_q4_bed06b846208/result.json,8,5,5,0.0,0.0149099170230329,0.0,12.005067742580692,2.832237857845987,0.8335903882980347,0.8570312964682585,0.9726487139188248,joint_continuity_step1,1.0807901620864868,0.7712786603171626
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed4_q4_0b10c270d2b7/result.json,8,5,5,0.001,0.0143030104227364,0.0,13.012895182831157,3.011285915731358,1.2034446001052856,1.1211332631518651,1.0734179777362212,joint_continuity_step1,1.1931607723236084,1.0086189791185056
