prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median_diagnostic_only,dataset,method,seed
0.0,0.014378763269633,0.0228789723696536,0.0561926364898681,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0
0.001,0.0145997167564928,0.0232259450713172,0.0557557996362447,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0
0.01,0.0178002463653683,0.0252544612740166,0.0597709286957979,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0
0.1,0.0190356271341443,0.0290535747481044,0.0783952511847019,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0
1.0,0.0508158821612596,0.2164191680494696,0.2110773622989654,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0
0.0,0.0089447405189275,0.0311128641915274,0.0564362350851297,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1
0.001,0.0092254953924566,0.0356637714721728,0.0651305504143238,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1
0.01,0.0131061947904527,0.0585467948330915,0.0848014615476131,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1
0.1,0.0230408189818263,0.0767916006152518,0.1071000508964061,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1
1.0,0.0938280224800109,0.2416556642856449,0.2206685468554496,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1
0.0,0.0106276907026767,0.0322592050943058,0.0581148862838745,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2
0.001,0.0108253313228487,0.031697852347861,0.0477829594165086,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2
0.01,0.013779523782432,0.0347358204307965,0.0586612112820148,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2
0.1,0.0205676238983869,0.0504284436465241,0.1445252224802971,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2
1.0,0.0525338016450405,0.1428385863546282,0.2536332458257675,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2
0.0,0.0121586127206683,0.0162782654297188,0.0554581340402364,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3
0.001,0.0127055062912404,0.0162491190203581,0.0589661486446857,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3
0.01,0.0167234512045979,0.0182788095917203,0.0434958636760711,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3
0.1,0.0182606326416134,0.0316432544204872,0.077385127544403,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3
1.0,0.076172512024641,0.3106456128880381,0.2140117064118385,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3
0.0,0.0138138202019035,0.0167802323703654,0.06327217631042,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4
0.001,0.0167290172539651,0.0174188319433596,0.0544054005295038,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4
0.01,0.0183156467974185,0.0196889278886374,0.0704203844070434,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4
0.1,0.0207764822989702,0.0303073968971148,0.0760588161647319,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4
1.0,0.0516394674777984,0.1476774421753361,0.1626418456435203,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4
0.0,0.0222798204049468,0.0873177818284602,0.084398103877902,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0
0.001,0.0223902100697159,0.0877219080430222,0.0631839819252491,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0
0.01,0.0229593301191926,0.0929040187038481,0.0835766717791557,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0
0.1,0.0233194073662161,0.1325005738035543,0.1347485184669494,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0
1.0,0.0349930254742503,0.3205282909912057,0.25187798589468,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0
0.0,0.0223586242645978,0.1014248086430598,0.0626584570854902,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1
0.001,0.0224153464660048,0.1017380951234372,0.0843545161187648,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1
0.01,0.0225725919008255,0.1121803649002686,0.0752474386245012,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1
0.1,0.0257623055949807,0.1492915057751815,0.1079488359391689,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1
1.0,0.0524612627923488,0.398148019099608,0.1624616906046867,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1
0.0,0.0230240728706121,0.180442478871555,0.127255093306303,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2
0.001,0.0231238706037402,0.1794355290185194,0.1276869140565395,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2
0.01,0.023710305802524,0.1783295439090579,0.1391065157949924,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2
0.1,0.0263099912554025,0.2169884704780997,0.1784107312560081,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2
1.0,0.0748961307108402,0.5940349767915905,0.2028054520487785,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2
0.0,0.0227081421762704,0.0948200478305807,0.1257092393934726,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3
0.001,0.0228135380893945,0.0955202184268273,0.0766364708542823,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3
0.01,0.0229712538421154,0.0977360467222752,0.1166124418377876,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3
0.1,0.0240199146792292,0.121639813616639,0.113515630364418,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3
1.0,0.0551648512482643,0.2886007458437234,0.2387283593416214,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3
0.0,0.022997916676104,0.0857392858888488,0.071504857391119,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4
0.001,0.0229882756248116,0.0865851747221313,0.0581624992191791,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4
0.01,0.0231955563649535,0.0902472070592921,0.0594673287123441,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4
0.1,0.0253754397854208,0.1417260469461325,0.1143670752644538,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4
1.0,0.0381651502102613,0.4452328538754955,0.174862690269947,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4
0.0,0.0153328492306172,0.0602358998003182,0.079074528068304,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0
0.001,0.0153911281377077,0.0601439859965466,0.061955701559782,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0
0.01,0.0175667842850089,0.0610406279301969,0.0749152451753616,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0
0.1,0.0211058454588055,0.0633566401229472,0.0893894210457801,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0
1.0,0.0705673955380916,0.1756640935782343,0.1504373773932457,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0
0.0,0.0115110352635383,0.0827752867262461,0.0774678066372871,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1
0.001,0.0114997155033051,0.0824623774096835,0.0735079087316989,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1
0.01,0.0137651469558477,0.0894024155131774,0.1045898403972387,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1
0.1,0.0208434499800205,0.1186152260925155,0.0973165649920702,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1
1.0,0.0631182231009006,0.3174004638567567,0.1702130883932113,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1
0.0,0.0113313724286854,0.0705681641120463,0.0834820978343486,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2
0.001,0.0128214694559574,0.0709794787399005,0.0836441479623317,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2
0.01,0.0209083845838904,0.0801749762031249,0.0821714885532856,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2
0.1,0.0273823859170079,0.098454491715529,0.1033262386918068,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2
1.0,0.1484516188502311,0.1992494002915918,0.1581815183162689,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2
0.0,0.0149099170230329,0.053619016893208,0.072349164634943,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3
0.001,0.0181703763082623,0.0547182646623696,0.1025200262665748,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3
0.01,0.023080488666892,0.0578302723442902,0.1241472400724887,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3
0.1,0.0305610336363315,0.0717977779422653,0.1081419922411441,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3
1.0,0.0998648628592491,0.3357564555481076,0.1709525734186172,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3
0.0,0.0143084023147821,0.0580336728016845,0.1837266981601715,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4
0.001,0.0143030104227364,0.0579579439872759,0.1000574454665184,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4
0.01,0.0190176432952284,0.0586015187072916,0.0925319269299507,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4
0.1,0.0248096017166972,0.0807145408762153,0.0904992446303367,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4
1.0,0.062282882630825,0.2692061581183225,0.1804538741707801,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4
0.0,0.0122652850113809,0.0230852534659788,0.0906149297952652,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0
0.001,0.0123029761016368,0.0230336972381337,0.1182431429624557,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0
0.01,0.0148119898512959,0.023657741738134,0.0881995223462581,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0
0.1,0.0192461013793945,0.0449146543396636,0.1232852786779403,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0
1.0,0.1123544089496135,0.1847785417921841,0.2660674899816513,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0
0.0,0.0080976334866136,0.0317324462375836,0.1426253207027912,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1
0.001,0.0080637587234377,0.0312984603879158,0.0876731500029563,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1
0.01,0.0081679702270776,0.0323507202192558,0.0710260234773159,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1
0.1,0.0260512018576264,0.0561043818015605,0.1795646697282791,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1
1.0,0.211702212691307,0.4243979323655367,0.5381501913070679,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1
0.0,0.0122981118038296,0.0313716488599311,0.0723364315927028,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2
0.001,0.0110601633787155,0.0311137598764617,0.0564008485525846,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2
0.01,0.0123547785915434,0.0314341485936893,0.0841310210525989,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2
0.1,0.0293220346793532,0.0525813602725975,0.1621293015778064,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2
1.0,0.1834359541535377,0.2568842478503939,0.4727081805467605,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2
0.0,0.0128949307836592,0.0159496868582209,0.0802616663277149,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3
0.001,0.013050380628556,0.0160125034599332,0.0870846211910247,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3
0.01,0.0151000921614468,0.0165247792974696,0.0736997351050376,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3
0.1,0.0190589567646384,0.0409035264456179,0.287804365158081,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3
1.0,0.1046687625348568,0.1813018661923706,0.5850067138671875,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3
0.0,0.0148955979384481,0.0197622074338141,0.1831333898007869,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4
0.001,0.0148673923686146,0.0198613781976746,0.1757962107658386,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4
0.01,0.0159688051789999,0.0195817811909364,0.094567984342575,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4
0.1,0.0275713764131069,0.028310983616393,0.2681764215230942,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4
1.0,0.1555192209780216,0.2749980590306222,0.5283182114362717,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4
0.0,0.0235309358686208,0.0887949006573762,0.1017883531749248,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0
0.001,0.022852249443531,0.0885578107263427,0.0888821966946125,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0
0.01,0.0243937848135828,0.0913259982335148,0.0659954026341438,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0
0.1,0.0343542881309986,0.1052619556430727,0.1324234679341316,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0
1.0,0.0902438275516033,0.2039323104545474,0.2420360520482063,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0
0.0,0.0226938538253307,0.1004951947543304,0.0990041717886924,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1
0.001,0.0211621075868606,0.0996747636672807,0.0537912473082542,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1
0.01,0.0218705832958221,0.1014006681361934,0.0730167534202337,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1
0.1,0.0377397146075964,0.1137020897731417,0.1321000643074512,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1
1.0,0.14140485227108,0.1961409219074994,0.3105732202529907,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1
0.0,0.0216712448745965,0.1699714684655191,0.1032811254262924,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2
0.001,0.0225162394344806,0.1703074901161017,0.1075557023286819,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2
0.01,0.0235197246074676,0.1712640086916508,0.1038420498371124,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2
0.1,0.0399111378937959,0.1864020652137696,0.2904626429080963,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2
1.0,0.1809668540954589,0.2877681599929929,0.4624364227056503,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2
0.0,0.0216313069686293,0.0921298381726956,0.073280856013298,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,3
0.001,0.0217220112681388,0.0923744341271231,0.0950641296803951,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,3
