dataset,method,coordinate,median_spearman
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,capacity_cycle1,0.6547619047619049
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,early_fade_rate,0.6904761904761905
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,capacity_cycle1,0.7500000000000001
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,early_fade_rate,0.4285714285714286
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,capacity_cycle1,0.6547619047619049
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,early_fade_rate,0.11904761904761907
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,capacity_cycle1,0.511904761904762
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,early_fade_rate,0.6309523809523812
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,capacity_cycle1,0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,early_fade_rate,0.8095238095238096
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,capacity_cycle1,0.7261904761904763
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,early_fade_rate,0.511904761904762
