dataset,method,prior_weight,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0.0,0.7903667214012042,0.5166940339354132
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0.001,0.8325123152709359,0.6776135741652982
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0.01,0.7917350848385332,0.6518883415435139
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0.1,0.6803503010399562,0.00875752599890531
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1.0,0.5779967159277504,0.22441160372194854
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0.0,0.6652983032293377,0.4406130268199233
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0.001,0.6365626710454297,0.39244663382594414
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0.01,0.6007115489874111,0.36453201970443344
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0.1,0.7755883962780514,0.6765188834154352
nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1.0,0.7599890530925013,0.6573617952928298
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0.0,0.40093048713738366,0.07936507936507936
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0.001,0.6135741652983032,0.3798576902025178
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0.01,0.8078817733990147,0.6748768472906403
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0.1,0.6852764094143404,0.5517241379310345
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1.0,0.5618500273672687,0.2386425834701697
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0.0,0.19868637110016418,-0.11767925561029009
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0.001,0.20087575259989052,-0.2698412698412698
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0.01,0.1803503010399562,-0.16803503010399565
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0.1,0.12807881773399016,-0.15818281335522713
nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1.0,0.04844006568144499,-0.23316912972085385
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0.0,0.6847290640394088,0.41215106732348106
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0.001,0.7769567597153804,0.6699507389162561
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0.01,0.8212917350848385,0.7547892720306513
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0.1,0.8212917350848385,0.6496989600437876
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1.0,0.8015873015873016,0.2857142857142857
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,0.0,0.5109469074986316,0.11220580186097427
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,0.001,0.6113847837985769,0.13683634373289547
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,0.01,0.5391351943076081,-0.11056376573617953
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,0.1,0.8308702791461411,0.004378762999452655
nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,1.0,0.8461959496442255,0.027914614121510674
