method,q_dim,coordinate,median_of_split_medians,min_split_median,max_split_median,all_split_medians_positive,splits
prefix_q_continuity_step1,4,capacity_cycle1,0.7261904761904763,0.6904761904761907,0.8214285714285716,True,3
prefix_q_continuity_step1,4,capacity_cycle28,0.7857142857142858,0.7619047619047621,0.7976190476190478,True,3
prefix_q_continuity_step1,4,early_fade_rate,0.7500000000000001,-0.11904761904761907,0.8214285714285716,False,3
prefix_q_continuity_step1,4,fade_acceleration,0.33333333333333337,0.11904761904761907,0.7500000000000001,True,3
prefix_q_continuity_step1,4,mid_fade_rate,0.4761904761904763,0.10714285714285715,0.5476190476190477,True,3
prefix_q_mse_step1,4,capacity_cycle1,0.7261904761904763,0.5000000000000001,0.7380952380952382,True,3
prefix_q_mse_step1,4,capacity_cycle28,0.6904761904761906,0.2023809523809524,0.8809523809523809,True,3
prefix_q_mse_step1,4,early_fade_rate,0.3690476190476191,0.29761904761904767,0.6785714285714287,True,3
prefix_q_mse_step1,4,fade_acceleration,0.261904761904762,0.16666666666666669,0.33333333333333337,True,3
prefix_q_mse_step1,4,mid_fade_rate,0.34523809523809534,0.25,0.7500000000000001,True,3
