status,dataset,method,seed,source_result,structure_validation_labels,prior_weights_scored,validation_q_rows,query_target_leakage_max_q_difference,baseline_weight0_validation_reference_nrmse,selected_weight,selected_validation_reference_nrmse,selected_to_baseline_nrmse_ratio
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed0_q4_f1c176eb43c0/result.json,5,2,10,0.0,1.3702619075775146,0.01,1.3646572828292847,0.9959098149651271
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed1_q4_1edc9eca0f77/result.json,5,2,10,0.0,1.2382315397262573,0.01,1.2358548641204834,0.9980805887029017
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed2_q4_3b0f3149b9a1/result.json,5,2,10,0.0,1.387204885482788,0.01,1.388389229774475,1.0008537630627468
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed3_q4_e0e9b1822608/result.json,5,2,10,0.0,1.4609283208847046,0.01,1.4431263208389282,0.987814597204197
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed4_q4_0c999c1343bb/result.json,5,2,10,0.0,1.7171803712844849,0.01,1.7845311164855957,1.039221706890774
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed0_q4_6010043cf6cb/result.json,5,2,10,0.0,1.9036617279052734,0.01,1.907241940498352,1.0018806978890196
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed1_q4_dfc59665ae57/result.json,5,2,10,0.0,1.4754300117492676,0.01,1.4751182794570923,0.9997887176689556
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed2_q4_debe082b341a/result.json,5,2,10,0.0,1.076134443283081,0.01,1.076512336730957,1.0003511582128373
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed3_q4_4ab4aa152d78/result.json,5,2,10,0.0,1.0429365634918213,0.01,1.043533444404602,1.0005723079750721
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed4_q4_935a504d66cd/result.json,5,2,10,0.0,1.695088267326355,0.01,1.6948294639587402,0.9998473215981708
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed0_q4_ed54c9bbdf36/result.json,5,2,10,0.0,1.5219478607177734,0.01,1.529970645904541,1.0052713929260257
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed1_q4_214e222eeab0/result.json,5,2,10,0.0,1.6774847507476807,0.01,1.6697728633880615,0.9954027079195911
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed2_q4_21607a57d9e9/result.json,5,2,10,0.0,1.1543272733688354,0.01,1.1529775857925415,0.9988307583062168
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed3_q4_bed06b846208/result.json,5,2,10,0.0,0.8570312857627869,0.01,0.8572032451629639,1.0002006454175403
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed4_q4_0b10c270d2b7/result.json,5,2,10,0.0,1.1211332082748413,0.01,1.150692343711853,1.0263654088727745
