prior_weight,validation_reference_nrmse,dataset,seed
0.0,1.3702619075775146,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,1.364657282829285,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,1.238231539726257,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,1.2358548641204834,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,1.387204885482788,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,1.388389229774475,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,1.4609283208847046,nasa_battery_capacity_reviewer_clean_inner0,3
0.01,1.4431263208389282,nasa_battery_capacity_reviewer_clean_inner0,3
0.0,1.7171803712844849,nasa_battery_capacity_reviewer_clean_inner0,4
0.01,1.7845311164855957,nasa_battery_capacity_reviewer_clean_inner0,4
0.0,1.9036617279052732,nasa_battery_capacity_reviewer_clean_inner1,0
0.01,1.907241940498352,nasa_battery_capacity_reviewer_clean_inner1,0
0.0,1.4754300117492676,nasa_battery_capacity_reviewer_clean_inner1,1
0.01,1.4751182794570925,nasa_battery_capacity_reviewer_clean_inner1,1
0.0,1.076134443283081,nasa_battery_capacity_reviewer_clean_inner1,2
0.01,1.076512336730957,nasa_battery_capacity_reviewer_clean_inner1,2
0.0,1.0429365634918213,nasa_battery_capacity_reviewer_clean_inner1,3
0.01,1.043533444404602,nasa_battery_capacity_reviewer_clean_inner1,3
0.0,1.695088267326355,nasa_battery_capacity_reviewer_clean_inner1,4
0.01,1.6948294639587402,nasa_battery_capacity_reviewer_clean_inner1,4
0.0,1.5219478607177734,nasa_battery_capacity_reviewer_clean_inner2,0
0.01,1.529970645904541,nasa_battery_capacity_reviewer_clean_inner2,0
0.0,1.6774847507476809,nasa_battery_capacity_reviewer_clean_inner2,1
0.01,1.6697728633880615,nasa_battery_capacity_reviewer_clean_inner2,1
0.0,1.1543272733688354,nasa_battery_capacity_reviewer_clean_inner2,2
0.01,1.1529775857925415,nasa_battery_capacity_reviewer_clean_inner2,2
0.0,0.8570312857627869,nasa_battery_capacity_reviewer_clean_inner2,3
0.01,0.8572032451629639,nasa_battery_capacity_reviewer_clean_inner2,3
0.0,1.1211332082748413,nasa_battery_capacity_reviewer_clean_inner2,4
0.01,1.150692343711853,nasa_battery_capacity_reviewer_clean_inner2,4
