label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0006,meta_fit,-0.1830064952373504,0.1295941323041916,-0.3914085924625397,0.2281467318534851,1.0,0.0189424585551023,0.0005129468045197,1.0,1.0,37.0,13.0,0.0,0.0,2.0280110836029053,0.0078114802017807,2.0280110836029053,1.957707762718201,1.907240390777588,1.878946304321289,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218256652355194,-0.0178970396518707,-0.2860694229602813,0.3852682411670685,2.0,0.0020619444549083,0.1292147785425186,1.0,1.0,37.0,13.0,0.0,0.0,1.8826937675476076,0.0015458265552297,1.8826937675476076,1.868781328201294,1.863785982131958,1.858384132385254,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3579824864864349,0.6413078308105469,-0.1186630278825759,0.6584565043449402,0.0,0.0010748689528554,0.1958940923213958,0.0,0.0,8.0,8.0,0.0,0.0,1.8487699031829836,0.0019708210602402,1.8487699031829836,1.831032514572144,1.794196367263794,1.7713340520858765,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.275471419095993,-0.170367807149887,-0.2164658606052398,0.1240967214107513,1.0,0.0004514990723691,0.2983242869377136,0.0,0.0,8.0,8.0,0.0,0.0,1.805046796798706,0.0023914708290249,1.805046796798706,1.7835235595703125,1.7616088390350342,1.7262942790985107,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053429663181305,-0.1330115348100662,-0.1517429798841476,0.3169402778148651,3.0,0.0183352958410978,0.3624599575996399,0.0,0.0,12.0,12.0,0.0,0.0,1.7935118675231934,0.0002709229884203,1.7935118675231934,1.7910735607147217,1.7391337156295776,1.6919227838516235,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.250413715839386,0.0065543898381292,-0.2685621082782745,0.183162972331047,2.0,0.0176796093583107,0.6631620526313782,0.0,0.0,12.0,12.0,0.0,0.0,1.751868486404419,-0.0038974683266133,1.751868486404419,1.7869457006454468,1.7558966875076294,1.72198748588562,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0103542869910597,0.152529701590538,0.1704290360212326,0.1147758886218071,3.0,0.1134081855416297,0.0205146465450525,1.0,1.0,42.0,15.0,0.0,0.0,0.8296276926994324,-0.0856976807117462,0.8296276926994324,1.6009068489074707,1.6289676427841189,1.6314492225646973,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3203471601009369,-0.2469647079706192,0.0656394138932228,-0.3004489243030548,2.0,0.0110779171809554,0.1950465738773346,0.0,0.0,14.0,14.0,0.0,0.0,0.7388712763786316,-0.0015652842121198,0.7388712763786316,0.7529588341712952,0.6886029839515686,0.6032813787460327,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1829758435487747,0.1295103281736374,-0.3914510905742645,0.2282068729400634,0.0,0.0189161393791437,0.0003867760824505,1.0,1.0,37.0,13.0,0.0,0.0,2.0280141830444336,0.0078078242950141,2.0280141830444336,1.957743763923645,1.9072786569595337,1.8789787292480469,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218543350696563,-0.0177066065371036,-0.2861883640289306,0.383587121963501,2.0,0.0020627111662179,0.1290616244077682,1.0,1.0,37.0,13.0,0.0,0.0,1.882601022720337,0.0015378528041765,1.882601022720337,1.868760347366333,1.863719701766968,1.858391284942627,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3569954037666321,0.6423710584640503,-0.119201511144638,0.6577972769737244,0.0,0.0010793749243021,0.1960781216621399,0.0,0.0,8.0,8.0,0.0,0.0,1.8486840724945068,0.0019459989853203,1.8486840724945068,1.8311700820922847,1.7943964004516602,1.771569848060608,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.2749475836753845,-0.1689734756946563,-0.220237135887146,0.1216086968779563,1.0,0.0004507893754635,0.2989394664764404,0.0,0.0,8.0,8.0,0.0,0.0,1.8055459260940552,0.0024581220932304,1.8055459260940552,1.783422827720642,1.7618894577026367,1.7265256643295288,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053200185298919,-0.1331536769866943,-0.1517475098371505,0.3170031011104584,3.0,0.0183351561427116,0.3622756898403168,0.0,0.0,12.0,12.0,0.0,0.0,1.7935097217559814,0.0002692673006094,1.7935097217559814,1.7910863161087036,1.739137053489685,1.6919273138046265,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2506829500198364,0.0048895101062953,-0.2684780657291412,0.1854458153247833,2.0,0.0176859349012374,0.6628293395042419,0.0,0.0,12.0,12.0,0.0,0.0,1.7526217699050903,-0.0038512018509209,1.7526217699050903,1.7872825860977173,1.7562323808670044,1.721997618675232,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0119152450934052,0.1494784355163574,0.1709239929914474,0.1186479777097702,3.0,0.1130101084709167,0.019161581993103,1.0,1.0,42.0,15.0,0.0,0.0,0.8257589340209961,-0.0861890465021133,0.8257589340209961,1.601460337638855,1.6299636363983154,1.632969856262207,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3202017247676849,-0.2467297613620758,0.0658494681119918,-0.3004738986492157,2.0,0.0110767809674143,0.1951121985912323,0.0,0.0,14.0,14.0,0.0,0.0,0.7388710379600525,-0.0015686287079006,0.7388710379600525,0.7529886960983276,0.688624918460846,0.6032787561416626,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1825302839279174,0.1289213448762893,-0.3915585577487945,0.2280014902353286,1.0,0.018954886123538,0.0002830549783539,1.0,1.0,37.0,13.0,0.0,0.0,2.0277421474456787,0.0077730547636747,2.0277421474456787,1.957784652709961,1.9072778224945068,1.878968596458435,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1221881583333015,-0.017309907823801,-0.2860128879547119,0.3831177055835724,2.0,0.0020662886090576,0.1291452199220657,1.0,1.0,37.0,13.0,0.0,0.0,1.8826041221618648,0.0015358659438788,1.8826041221618648,1.868781328201294,1.8637540340423584,1.8583816289901731,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3556393384933471,0.6429570317268372,-0.1198735758662223,0.6564754247665405,0.0,0.0010839391034096,0.1955231428146362,0.0,0.0,8.0,8.0,0.0,0.0,1.8486411571502688,0.0019146336708217,1.8486411571502688,1.8314094543457031,1.794657588005066,1.771934151649475,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.276039570569992,-0.1694785207509994,-0.2193921953439712,0.121924340724945,1.0,0.000448952167062,0.297742635011673,0.0,0.0,8.0,8.0,0.0,0.0,1.805557131767273,0.0024494065437465,1.805557131767273,1.7835124731063845,1.761986255645752,1.726695537567139,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4051147997379303,-0.1328348666429519,-0.1518865525722503,0.3168160021305084,3.0,0.0183343142271041,0.3615212440490722,0.0,0.0,12.0,12.0,0.0,0.0,1.793503999710083,0.0002709362306632,1.793503999710083,1.7910655736923218,1.7391128540039062,1.6919013261795044,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2507286071777344,0.0042353952303528,-0.2692146897315979,0.1839154809713363,2.0,0.0176857039332389,0.6645968556404114,0.0,0.0,12.0,12.0,0.0,0.0,1.7520833015441897,-0.0039502512663602,1.7520833015441897,1.7876355648040771,1.756563663482666,1.7221728563308716,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0091078970581293,0.1476888954639434,0.1712520271539688,0.1170470416545867,0.0,0.1145284101366996,0.0215193461626768,1.0,1.0,42.0,15.0,0.0,0.0,0.8253156542778015,-0.0861173793673515,0.8253156542778015,1.600372076034546,1.628738284111023,1.6320236921310425,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.320788562297821,-0.2466571629047393,0.0635540783405304,-0.3036185503005981,2.0,0.0110903894528746,0.1985433250665664,0.0,0.0,14.0,14.0,0.0,0.0,0.7386690378189087,-0.0015878081321716,0.7386690378189087,0.7529593110084534,0.6887917518615723,0.6036193370819092,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1773462146520614,0.1223239675164222,-0.3916595876216888,0.2301253676414489,3.0,0.0191356241703033,0.0002466627629473,1.0,1.0,37.0,13.0,0.0,0.0,2.025387525558472,0.0074491500854492,2.025387525558472,1.9583451747894287,1.9079854488372805,1.879213809967041,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1381725668907165,0.0177542325109243,-0.2838552594184875,0.3263111710548401,2.0,0.0021376663353294,0.1267542988061905,1.0,1.0,37.0,13.0,0.0,0.0,1.88248348236084,0.0014936658553779,1.88248348236084,1.8690404891967771,1.865445852279663,1.8591101169586184,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3117856681346893,0.6401143074035645,-0.1267179101705551,0.6453388929367065,0.0,0.0011701598996296,0.1806518882513046,0.0,0.0,8.0,8.0,0.0,0.0,1.8473820686340328,0.0018276638584211,1.8473820686340328,1.8309330940246584,1.7946147918701172,1.7784100770950315,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.2729214131832123,-0.179305762052536,-0.2127989828586578,0.1298642456531524,1.0,0.0004554905754048,0.3313634991645813,0.0,0.0,8.0,8.0,0.0,0.0,1.8049356937408447,0.0023349656257778,1.8049356937408447,1.7839210033416748,1.7610223293304443,1.7255990505218506,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.2324544936418533,-0.4467166066169739,-0.3045361936092376,0.3545862436294555,2.0,0.0183216743171215,0.3624497950077057,0.0,0.0,12.0,12.0,0.0,0.0,1.7735061645507812,-0.0028786261100322,1.7735061645507812,1.799413800239563,1.7858834266662598,1.7407282590866089,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
