dataset,prior_weight,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,0.7903667214012042,0.5166940339354132
nasa_battery_capacity_reviewer_clean_inner0,0.001,0.7922824302134647,0.5161466885604816
nasa_battery_capacity_reviewer_clean_inner0,0.01,0.7194854953475642,0.5172413793103449
nasa_battery_capacity_reviewer_clean_inner0,0.1,0.8541324575807334,0.6978653530377669
nasa_battery_capacity_reviewer_clean_inner0,1.0,0.7025177887246853,0.20306513409961688
nasa_battery_capacity_reviewer_clean_inner1,0.0,0.40093048713738366,0.07936507936507936
nasa_battery_capacity_reviewer_clean_inner1,0.001,0.3754789272030651,0.1291735084838533
nasa_battery_capacity_reviewer_clean_inner1,0.01,0.3943623426382047,0.1565407772304324
nasa_battery_capacity_reviewer_clean_inner1,0.1,0.4551176792556103,0.17898193760262726
nasa_battery_capacity_reviewer_clean_inner1,1.0,0.37110016420361247,0.03776683087027915
nasa_battery_capacity_reviewer_clean_inner2,0.0,0.6847290640394088,0.41215106732348106
nasa_battery_capacity_reviewer_clean_inner2,0.001,0.6732348111658456,0.3366174055829228
nasa_battery_capacity_reviewer_clean_inner2,0.01,0.6685823754789273,0.39792008757526
nasa_battery_capacity_reviewer_clean_inner2,0.1,0.5618500273672687,0.2950191570881226
nasa_battery_capacity_reviewer_clean_inner2,1.0,0.5363984674329502,0.4510125889436234
