status,dataset,method,seed,source_result,structure_validation_labels,prior_weights_scored,validation_q_rows,query_target_leakage_max_q_difference,baseline_weight0_validation_reference_nrmse,selected_weight,selected_validation_reference_nrmse,selected_to_baseline_nrmse_ratio
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed0_q4_f1c176eb43c0/result.json,5,2,10,0.0,1.3702619075775146,0.01,1.3728240728378296,1.0018698361577054
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed1_q4_1edc9eca0f77/result.json,5,2,10,0.0,1.2382315397262573,0.01,1.3343791961669922,1.0776491741294125
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed2_q4_3b0f3149b9a1/result.json,5,2,10,0.0,1.387204885482788,0.01,1.545361876487732,1.1140112701880376
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed3_q4_e0e9b1822608/result.json,5,2,10,0.0,1.4609283208847046,0.01,1.458806037902832,0.9985473051952424
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed4_q4_0c999c1343bb/result.json,5,2,10,0.0,1.7171803712844849,0.01,1.7812175750732422,1.037292066028484
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed0_q4_6010043cf6cb/result.json,5,2,10,0.0,1.9036617279052734,0.01,1.8151369094848633,0.9534976108818346
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed1_q4_dfc59665ae57/result.json,5,2,10,0.0,1.4754300117492676,0.01,1.4735002517700195,0.9986920694550872
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed2_q4_debe082b341a/result.json,5,2,10,0.0,1.076134443283081,0.01,1.1122291088104248,1.0335410373235763
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed3_q4_4ab4aa152d78/result.json,5,2,10,0.0,1.0429365634918213,0.01,1.0479618310928345,1.004818382801911
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed4_q4_935a504d66cd/result.json,5,2,10,0.0,1.695088267326355,0.01,1.6828356981277466,0.9927717220189753
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed0_q4_ed54c9bbdf36/result.json,5,2,10,0.0,1.5219478607177734,0.01,1.5269376039505005,1.0032785244235463
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed1_q4_214e222eeab0/result.json,5,2,10,0.0,1.6774847507476807,0.01,1.675429344177246,0.998774709236839
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed2_q4_21607a57d9e9/result.json,5,2,10,0.0,1.1543272733688354,0.01,1.1532118320465088,0.9990336871110467
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed3_q4_bed06b846208/result.json,5,2,10,0.0,0.8570312857627869,0.01,0.8577721118927002,1.000864409668842
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed4_q4_0b10c270d2b7/result.json,5,2,10,0.0,1.1211332082748413,0.01,1.1129039525985718,0.9926598769748937
