prior_weight,validation_reference_nrmse,dataset,seed
0.0,1.3702619075775146,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,1.3728240728378296,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,1.238231539726257,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,1.3343791961669922,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,1.387204885482788,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,1.545361876487732,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,1.4609283208847046,nasa_battery_capacity_reviewer_clean_inner0,3
0.01,1.458806037902832,nasa_battery_capacity_reviewer_clean_inner0,3
0.0,1.7171803712844849,nasa_battery_capacity_reviewer_clean_inner0,4
0.01,1.7812175750732422,nasa_battery_capacity_reviewer_clean_inner0,4
0.0,1.9036617279052732,nasa_battery_capacity_reviewer_clean_inner1,0
0.01,1.8151369094848635,nasa_battery_capacity_reviewer_clean_inner1,0
0.0,1.4754300117492676,nasa_battery_capacity_reviewer_clean_inner1,1
0.01,1.4735002517700195,nasa_battery_capacity_reviewer_clean_inner1,1
0.0,1.076134443283081,nasa_battery_capacity_reviewer_clean_inner1,2
0.01,1.1122291088104248,nasa_battery_capacity_reviewer_clean_inner1,2
0.0,1.0429365634918213,nasa_battery_capacity_reviewer_clean_inner1,3
0.01,1.0479618310928345,nasa_battery_capacity_reviewer_clean_inner1,3
0.0,1.695088267326355,nasa_battery_capacity_reviewer_clean_inner1,4
0.01,1.6828356981277466,nasa_battery_capacity_reviewer_clean_inner1,4
0.0,1.5219478607177734,nasa_battery_capacity_reviewer_clean_inner2,0
0.01,1.5269376039505005,nasa_battery_capacity_reviewer_clean_inner2,0
0.0,1.6774847507476809,nasa_battery_capacity_reviewer_clean_inner2,1
0.01,1.675429344177246,nasa_battery_capacity_reviewer_clean_inner2,1
0.0,1.1543272733688354,nasa_battery_capacity_reviewer_clean_inner2,2
0.01,1.1532118320465088,nasa_battery_capacity_reviewer_clean_inner2,2
0.0,0.8570312857627869,nasa_battery_capacity_reviewer_clean_inner2,3
0.01,0.8577721118927002,nasa_battery_capacity_reviewer_clean_inner2,3
0.0,1.1211332082748413,nasa_battery_capacity_reviewer_clean_inner2,4
0.01,1.1129039525985718,nasa_battery_capacity_reviewer_clean_inner2,4
