dataset,seed,prior_weight,capacity_spearman,early_fade_spearman
nasa_battery_capacity_reviewer_clean_inner0,0,0.0,0.7,0.7
nasa_battery_capacity_reviewer_clean_inner0,0,0.01,0.7,0.8999999999999998
nasa_battery_capacity_reviewer_clean_inner0,1,0.0,0.9999999999999999,0.09999999999999999
nasa_battery_capacity_reviewer_clean_inner0,1,0.01,0.9999999999999999,0.09999999999999999
nasa_battery_capacity_reviewer_clean_inner0,2,0.0,0.9999999999999999,0.19999999999999998
nasa_battery_capacity_reviewer_clean_inner0,2,0.01,0.9999999999999999,0.19999999999999998
nasa_battery_capacity_reviewer_clean_inner0,3,0.0,0.8999999999999998,0.0
nasa_battery_capacity_reviewer_clean_inner0,3,0.01,0.8999999999999998,0.0
nasa_battery_capacity_reviewer_clean_inner0,4,0.0,0.9999999999999999,0.6
nasa_battery_capacity_reviewer_clean_inner0,4,0.01,0.9999999999999999,0.6
nasa_battery_capacity_reviewer_clean_inner1,0,0.0,0.9999999999999999,0.7
nasa_battery_capacity_reviewer_clean_inner1,0,0.01,0.9999999999999999,0.49999999999999994
nasa_battery_capacity_reviewer_clean_inner1,1,0.0,0.9999999999999999,0.7
nasa_battery_capacity_reviewer_clean_inner1,1,0.01,0.9999999999999999,0.7
nasa_battery_capacity_reviewer_clean_inner1,2,0.0,0.9999999999999999,0.8999999999999998
nasa_battery_capacity_reviewer_clean_inner1,2,0.01,0.9999999999999999,0.8999999999999998
nasa_battery_capacity_reviewer_clean_inner1,3,0.0,0.9999999999999999,0.49999999999999994
nasa_battery_capacity_reviewer_clean_inner1,3,0.01,0.9999999999999999,0.49999999999999994
nasa_battery_capacity_reviewer_clean_inner1,4,0.0,0.9999999999999999,0.7
nasa_battery_capacity_reviewer_clean_inner1,4,0.01,0.8999999999999998,0.7
nasa_battery_capacity_reviewer_clean_inner2,0,0.0,0.9999999999999999,0.6
nasa_battery_capacity_reviewer_clean_inner2,0,0.01,0.9999999999999999,0.6
nasa_battery_capacity_reviewer_clean_inner2,1,0.0,0.9999999999999999,0.7999999999999999
nasa_battery_capacity_reviewer_clean_inner2,1,0.01,0.9999999999999999,0.7999999999999999
nasa_battery_capacity_reviewer_clean_inner2,2,0.0,0.9999999999999999,0.19999999999999998
nasa_battery_capacity_reviewer_clean_inner2,2,0.01,0.9999999999999999,0.19999999999999998
nasa_battery_capacity_reviewer_clean_inner2,3,0.0,0.9999999999999999,0.49999999999999994
nasa_battery_capacity_reviewer_clean_inner2,3,0.01,0.9999999999999999,0.49999999999999994
nasa_battery_capacity_reviewer_clean_inner2,4,0.0,0.9999999999999999,0.19999999999999998
nasa_battery_capacity_reviewer_clean_inner2,4,0.01,0.9999999999999999,-0.3
