label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0006,meta_fit,-0.1830064952373504,0.1295941323041916,-0.3914085924625397,0.2281467318534851,1.0,0.0189424585551023,0.0005129468045197,1.0,1.0,37.0,13.0,0.0,0.0,2.0280110836029053,0.0078114802017807,2.0280110836029053,1.957707762718201,1.907240390777588,1.878946304321289,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218256652355194,-0.0178970396518707,-0.2860694229602813,0.3852682411670685,2.0,0.0020619444549083,0.1292147785425186,1.0,1.0,37.0,13.0,0.0,0.0,1.8826937675476076,0.0015458265552297,1.8826937675476076,1.868781328201294,1.863785982131958,1.858384132385254,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3579824864864349,0.6413078308105469,-0.1186630278825759,0.6584565043449402,0.0,0.0010748689528554,0.1958940923213958,0.0,0.0,8.0,8.0,0.0,0.0,1.8487699031829836,0.0019708210602402,1.8487699031829836,1.831032514572144,1.794196367263794,1.7713340520858765,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.275471419095993,-0.170367807149887,-0.2164658606052398,0.1240967214107513,1.0,0.0004514990723691,0.2983242869377136,0.0,0.0,8.0,8.0,0.0,0.0,1.805046796798706,0.0023914708290249,1.805046796798706,1.7835235595703125,1.7616088390350342,1.7262942790985107,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053429663181305,-0.1330115348100662,-0.1517429798841476,0.3169402778148651,3.0,0.0183352958410978,0.3624599575996399,0.0,0.0,12.0,12.0,0.0,0.0,1.7935118675231934,0.0002709229884203,1.7935118675231934,1.7910735607147217,1.7391337156295776,1.6919227838516235,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.250413715839386,0.0065543898381292,-0.2685621082782745,0.183162972331047,2.0,0.0176796093583107,0.6631620526313782,0.0,0.0,12.0,12.0,0.0,0.0,1.751868486404419,-0.0038974683266133,1.751868486404419,1.7869457006454468,1.7558966875076294,1.72198748588562,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0103542869910597,0.152529701590538,0.1704290360212326,0.1147758886218071,3.0,0.1134081855416297,0.0205146465450525,1.0,1.0,42.0,15.0,0.0,0.0,0.8296276926994324,-0.0856976807117462,0.8296276926994324,1.6009068489074707,1.6289676427841189,1.6314492225646973,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3203471601009369,-0.2469647079706192,0.0656394138932228,-0.3004489243030548,2.0,0.0110779171809554,0.1950465738773346,0.0,0.0,14.0,14.0,0.0,0.0,0.7388712763786316,-0.0015652842121198,0.7388712763786316,0.7529588341712952,0.6886029839515686,0.6032813787460327,0.0,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1829653531312942,0.1295813769102096,-0.3914893269538879,0.2279563993215561,1.0,0.0189408734440803,0.0002484818687662,1.0,1.0,37.0,13.0,0.0,0.0,2.027966022491455,0.007806671783328,2.027966022491455,1.9577059745788572,1.907209634780884,1.8789314031600952,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1218452453613281,-0.0177125390619039,-0.2861583232879638,0.3836691379547119,2.0,0.0020638764835894,0.1290283799171447,1.0,1.0,37.0,13.0,0.0,0.0,1.882589340209961,0.0015379985561594,1.882589340209961,1.868747353553772,1.8637137413024905,1.858377456665039,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3569015562534332,0.6425280570983887,-0.1192678287625312,0.6577480435371399,0.0,0.0010799502488225,0.1961171776056289,0.0,0.0,8.0,8.0,0.0,0.0,1.8486790657043457,0.0019432040862739,1.8486790657043457,1.8311902284622192,1.7944252490997314,1.7716008424758911,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.2792394459247589,-0.1633054167032241,-0.2177367657423019,0.1235076412558555,1.0,0.0004542754904832,0.2975190579891205,0.0,0.0,8.0,8.0,0.0,0.0,1.80550479888916,0.0023967160377651,1.80550479888916,1.7839343547821045,1.762502670288086,1.7275656461715698,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4051865637302398,-0.1324937641620636,-0.1518607288599014,0.3167010247707367,3.0,0.0183346718549728,0.3625140786170959,0.0,0.0,12.0,12.0,0.0,0.0,1.79351806640625,0.0002757443289738,1.79351806640625,1.7910363674163818,1.7391055822372437,1.6918915510177612,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2510069906711578,0.0052404729649424,-0.2682246565818786,0.1834143549203872,2.0,0.0176811683923006,0.6635504961013794,0.0,0.0,12.0,12.0,0.0,0.0,1.7516961097717283,-0.0039219590835273,1.7516961097717283,1.7869937419891355,1.7559136152267456,1.7218217849731443,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0111382445320487,0.1516208201646804,0.1709245443344116,0.1172874495387077,1.0,0.1163695827126503,0.022247701883316,1.0,1.0,42.0,15.0,0.0,0.0,0.8289721608161926,-0.0858034491539001,0.8289721608161926,1.601203203201294,1.6293500661849976,1.6320096254348757,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3203871250152588,-0.2468996196985244,0.0656193196773529,-0.3005287051200866,2.0,0.0110768992453813,0.1950800865888595,0.0,0.0,14.0,14.0,0.0,0.0,0.7388553023338318,-0.0015667279949411,0.7388553023338318,0.7529558539390564,0.6886003613471985,0.6032732725143433,0.001,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.1825126260519027,0.1288154423236847,-0.3915740549564361,0.2280653268098831,0.0,0.0189677774906158,0.0002094433439197,1.0,1.0,37.0,13.0,0.0,0.0,2.027743339538574,0.0077692801132798,2.027743339538574,1.9578198194503784,1.9073173999786377,1.878999948501587,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1219806596636772,-0.0175539031624794,-0.2861069738864898,0.3844638764858246,2.0,0.0020610352512449,0.12880539894104,1.0,1.0,37.0,13.0,0.0,0.0,1.8826936483383176,0.0015421708812937,1.8826936483383176,1.8688141107559204,1.86380136013031,1.8584064245224,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.355089396238327,0.6433926820755005,-0.1201467141509056,0.6561247706413269,0.0,0.0010862513445317,0.1955550760030746,0.0,0.0,8.0,8.0,0.0,0.0,1.848618030548096,0.0019030570983886,1.848618030548096,1.8314905166625977,1.7947622537612915,1.7720792293548584,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.2742571532726288,-0.1634178161621093,-0.2201170027256012,0.1224560365080833,1.0,0.000449679675512,0.2977032363414764,0.0,0.0,8.0,8.0,0.0,0.0,1.8052440881729128,0.0024216307792812,1.8052440881729128,1.783449411392212,1.7618494033813477,1.7265324592590332,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4053575694561004,-0.1335989087820053,-0.1515478044748306,0.3176442980766296,3.0,0.018335448578,0.3591303527355194,0.0,0.0,12.0,12.0,0.0,0.0,1.7935643196105957,0.0002752410073298,1.7935643196105957,1.7910871505737305,1.739087700843811,1.691883563995361,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0031,meta_fit,-0.2509727776050567,0.0041136112995445,-0.2676944732666015,0.1822020560503006,2.0,0.0176962707191705,0.6651456356048584,0.0,0.0,12.0,12.0,0.0,0.0,1.7504231929779053,-0.0040169688872992,1.7504231929779053,1.7865759134292605,1.7554452419281006,1.7211097478866575,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0033,meta_fit,0.0123158181086182,0.1485919207334518,0.1714764833450317,0.1204903945326805,2.0,0.1154312938451767,0.0225901957601308,1.0,1.0,42.0,15.0,0.0,0.0,0.8251250386238098,-0.0862582996487617,0.8251250386238098,1.601449728012085,1.6300621032714844,1.633225917816162,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0040,meta_fit,0.3207823038101196,-0.2468089014291763,0.0631260797381401,-0.3038053214550018,2.0,0.0110911587253212,0.1980348229408264,0.0,0.0,14.0,14.0,0.0,0.0,0.7387384176254272,-0.001590953906998,0.7387384176254272,0.7530570030212402,0.6889299750328064,0.6038078665733337,0.01,nasa_battery_capacity_reviewer_clean_inner0,0
B0006,meta_fit,-0.175448477268219,0.12307670712471,-0.3932607173919678,0.2326432317495346,1.0,0.0192361660301685,0.0002497695386409,1.0,1.0,37.0,13.0,0.0,0.0,2.025574922561645,0.0074434014968574,2.025574922561645,1.958584308624268,1.9084312915802,1.879559874534607,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0007,meta_fit,-0.1482248306274414,0.0375433266162872,-0.291511058807373,0.2981850206851959,3.0,0.0021453402005136,0.1205087453126907,1.0,1.0,37.0,13.0,0.0,0.0,1.8876917362213133,0.0015977355651557,1.8876917362213133,1.8733121156692505,1.868844509124756,1.863636493682861,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0025,meta_fit,-0.3118099868297577,0.6451186537742615,-0.1277401745319366,0.6465736627578735,0.0,0.0011804805835708,0.1803277283906936,0.0,0.0,8.0,8.0,0.0,0.0,1.84729278087616,0.0018121136818081,1.84729278087616,1.8309837579727173,1.7951843738555908,1.7785006761550903,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0028,meta_fit,-0.3069524466991424,0.0552908778190612,-0.3023507297039032,0.0279841274023056,1.0,0.0005528653273358,0.2498073726892471,0.0,0.0,8.0,8.0,0.0,0.0,1.8050109148025515,0.0026557710953056,1.8050109148025515,1.7811089754104614,1.7595759630203247,1.7254276275634766,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
B0029,meta_fit,-0.4001729190349579,-0.139118805527687,-0.151651918888092,0.3255747258663177,3.0,0.018299302086234,0.3560793101787567,0.0,0.0,12.0,12.0,0.0,0.0,1.7939107418060305,0.0003816419048234,1.7939107418060305,1.7904759645462036,1.7376790046691897,1.6905657052993774,0.1,nasa_battery_capacity_reviewer_clean_inner0,0
