prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median,meta_query_nrmse_mean,dataset,seed
0.0,0.014378763269633,0.0228789723696536,0.0561926364898681,0.1079076947644352,nasa_battery_capacity_reviewer_clean_inner0,0
0.001,0.0143790338188409,0.023250162234035,0.0559084545820951,0.1078846775926649,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,0.0143937147222459,0.0231398644536966,0.0560032054781913,0.1079059382900595,nasa_battery_capacity_reviewer_clean_inner0,0
0.1,0.0145598920062184,0.0236275214119814,0.0462575685232877,0.1064318954013288,nasa_battery_capacity_reviewer_clean_inner0,0
1.0,0.0151326032355427,0.0223591070243855,0.0594989340752363,0.1440159187186509,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,0.0089447405189275,0.0311128641915274,0.0564362350851297,0.1083511328324675,nasa_battery_capacity_reviewer_clean_inner0,1
0.001,0.0089506702497601,0.0313632633187808,0.0588682070374488,0.1106991204433143,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,0.0090467543341219,0.0318502871377859,0.0660989563912153,0.1368443453684449,nasa_battery_capacity_reviewer_clean_inner0,1
0.1,0.0123863467015326,0.0478697844955604,0.1371579766273498,0.1616257932037115,nasa_battery_capacity_reviewer_clean_inner0,1
1.0,0.0199032993987202,0.0790783299526083,0.1615517437458038,0.20654485700652,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,0.0106276907026767,0.0322592050943058,0.0581148862838745,0.1093640294857323,nasa_battery_capacity_reviewer_clean_inner0,2
0.001,0.0106006148271262,0.0317932290563476,0.0597963742911815,0.1080944468267262,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,0.0122107327915728,0.0329930394873372,0.0599468499422073,0.1065168841741979,nasa_battery_capacity_reviewer_clean_inner0,2
0.1,0.0138159836642444,0.034040347476548,0.0551451984792947,0.1322490880265832,nasa_battery_capacity_reviewer_clean_inner0,2
1.0,0.0168146165087819,0.036073694616789,0.0580868050456047,0.1317836460657417,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,0.0121586127206683,0.0162782654297188,0.0554581340402364,0.1021496371831744,nasa_battery_capacity_reviewer_clean_inner0,3
0.001,0.0121573633514344,0.0162652823200915,0.0554568022489547,0.1020525922067463,nasa_battery_capacity_reviewer_clean_inner0,3
0.01,0.0121302967891097,0.0162200751874479,0.0487290304154157,0.0979686141945421,nasa_battery_capacity_reviewer_clean_inner0,3
0.1,0.0126583380624651,0.0159856196405598,0.0474975071847438,0.0992907560430467,nasa_battery_capacity_reviewer_clean_inner0,3
1.0,0.0138283111155033,0.0179088095610495,0.0656734239310026,0.1149181867949664,nasa_battery_capacity_reviewer_clean_inner0,3
0.0,0.0138138202019035,0.0167802323703654,0.06327217631042,0.1078554675914347,nasa_battery_capacity_reviewer_clean_inner0,4
0.001,0.013814085163176,0.0169061147389584,0.0631103608757257,0.1079204208217561,nasa_battery_capacity_reviewer_clean_inner0,4
0.01,0.0138147608377039,0.0167907327559078,0.0625225510448217,0.108129390515387,nasa_battery_capacity_reviewer_clean_inner0,4
0.1,0.0138148511759936,0.0159097668074537,0.0652465559542179,0.1123578501865267,nasa_battery_capacity_reviewer_clean_inner0,4
1.0,0.016733675263822,0.0252706918254261,0.0684230141341686,0.1494472702033817,nasa_battery_capacity_reviewer_clean_inner0,4
0.0,0.0222798204049468,0.0873177818284602,0.084398103877902,0.1575658675283193,nasa_battery_capacity_reviewer_clean_inner1,0
0.001,0.0220071170479059,0.0873187481920467,0.0588247627019882,0.1387960389256477,nasa_battery_capacity_reviewer_clean_inner1,0
0.01,0.0220731534063816,0.0872928608005167,0.0609422717243433,0.1428618291392922,nasa_battery_capacity_reviewer_clean_inner1,0
0.1,0.0225663632154464,0.089894526056014,0.0998133830726146,0.1226449459791183,nasa_battery_capacity_reviewer_clean_inner1,0
1.0,0.0229253424331545,0.0886028907116269,0.1078799255192279,0.1320848292671144,nasa_battery_capacity_reviewer_clean_inner1,0
0.0,0.0223586242645978,0.1014248086430598,0.0626584570854902,0.1090092877857387,nasa_battery_capacity_reviewer_clean_inner1,1
0.001,0.02235799562186,0.1016093596554128,0.0624261815100908,0.1090063555166125,nasa_battery_capacity_reviewer_clean_inner1,1
0.01,0.0223605530336499,0.1013435066270176,0.063655812293291,0.0962085528299212,nasa_battery_capacity_reviewer_clean_inner1,1
0.1,0.0226074289530515,0.1004277222964447,0.0644015483558178,0.1037610108032822,nasa_battery_capacity_reviewer_clean_inner1,1
1.0,0.0222183233126997,0.0972375021665357,0.0808392390608787,0.2164719048887491,nasa_battery_capacity_reviewer_clean_inner1,1
0.0,0.0230240728706121,0.180442478871555,0.127255093306303,0.2356864404864609,nasa_battery_capacity_reviewer_clean_inner1,2
0.001,0.0230101877823472,0.1804397735686507,0.1268047541379928,0.2353156534954905,nasa_battery_capacity_reviewer_clean_inner1,2
0.01,0.0229953210800886,0.1804251623398158,0.1250845044851303,0.2347675100900232,nasa_battery_capacity_reviewer_clean_inner1,2
0.1,0.0232105115428566,0.1803538254171144,0.1309535168111324,0.2337114810943603,nasa_battery_capacity_reviewer_clean_inner1,2
1.0,0.0233969297260046,0.1800134305522078,0.0808530785143375,0.208823652472347,nasa_battery_capacity_reviewer_clean_inner1,2
0.0,0.0227081421762704,0.0948200478305807,0.1257092393934726,0.1726039084605872,nasa_battery_capacity_reviewer_clean_inner1,3
0.001,0.0227076588198542,0.0951809804828371,0.1089460179209709,0.1326582417823374,nasa_battery_capacity_reviewer_clean_inner1,3
0.01,0.022697071544826,0.0941173479077406,0.0874298810958862,0.1717930338345468,nasa_battery_capacity_reviewer_clean_inner1,3
0.1,0.0227445987984538,0.0942007393459789,0.118892453610897,0.1489643231034279,nasa_battery_capacity_reviewer_clean_inner1,3
1.0,0.0228224424645304,0.0954879190976498,0.1463908851146698,0.1682501435279846,nasa_battery_capacity_reviewer_clean_inner1,3
0.0,0.022997916676104,0.0857392858888488,0.071504857391119,0.1373501690104603,nasa_battery_capacity_reviewer_clean_inner1,4
0.001,0.0229977397248148,0.0857377216307213,0.0708324909210205,0.136832077987492,nasa_battery_capacity_reviewer_clean_inner1,4
0.01,0.0229179728776216,0.086480971542187,0.0704120025038719,0.1188993495889008,nasa_battery_capacity_reviewer_clean_inner1,4
0.1,0.0225288411602377,0.0865096976485801,0.0602198150008916,0.1115068420767784,nasa_battery_capacity_reviewer_clean_inner1,4
1.0,0.0169579908251762,0.0875202259630896,0.076587812975049,0.1286225141957402,nasa_battery_capacity_reviewer_clean_inner1,4
0.0,0.0153328492306172,0.0602358998003182,0.079074528068304,0.1353177102282643,nasa_battery_capacity_reviewer_clean_inner2,0
0.001,0.0155205801129341,0.0603753012037486,0.0873981863260269,0.1387227135710418,nasa_battery_capacity_reviewer_clean_inner2,0
0.01,0.0154941203072667,0.0601172190945362,0.0872013717889785,0.1411288240924477,nasa_battery_capacity_reviewer_clean_inner2,0
0.1,0.0153243453241884,0.0594741539607639,0.0867887865751981,0.1401167260482907,nasa_battery_capacity_reviewer_clean_inner2,0
1.0,0.0158947654999792,0.0603921835354412,0.0704413428902626,0.1520327040925622,nasa_battery_capacity_reviewer_clean_inner2,0
0.0,0.0115110352635383,0.0827752867262461,0.0774678066372871,0.130431801546365,nasa_battery_capacity_reviewer_clean_inner2,1
0.001,0.0115062100812792,0.0822556020575575,0.0772647634148597,0.1306193866766989,nasa_battery_capacity_reviewer_clean_inner2,1
0.01,0.0113861123099923,0.0830428157714777,0.078660000115633,0.1301219323650002,nasa_battery_capacity_reviewer_clean_inner2,1
0.1,0.0116852163337171,0.1004943486623233,0.0742785297334194,0.1269246735610067,nasa_battery_capacity_reviewer_clean_inner2,1
1.0,0.015660710632801,0.1136267550900811,0.0750616230070591,0.2169727925211191,nasa_battery_capacity_reviewer_clean_inner2,1
