dataset,prior_weight,coordinate,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.0,early_fade_rate,0.9761904761904763,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,0.001,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.001,early_fade_rate,0.9761904761904763,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,0.01,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.01,early_fade_rate,0.9642857142857144,0.9285714285714287
nasa_battery_capacity_reviewer_clean_inner0,0.1,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0.1,early_fade_rate,0.9285714285714287,0.7619047619047621
nasa_battery_capacity_reviewer_clean_inner0,1.0,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,1.0,early_fade_rate,0.9047619047619048,0.7142857142857144
nasa_battery_capacity_reviewer_clean_inner1,0.0,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.0,early_fade_rate,0.773809523809524,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,0.001,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.001,early_fade_rate,0.7857142857142858,0.5476190476190477
nasa_battery_capacity_reviewer_clean_inner1,0.01,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.01,early_fade_rate,0.8571428571428572,0.5476190476190477
nasa_battery_capacity_reviewer_clean_inner1,0.1,capacity_cycle1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner1,0.1,early_fade_rate,0.8928571428571429,0.8095238095238096
nasa_battery_capacity_reviewer_clean_inner1,1.0,capacity_cycle1,0.9761904761904763,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner1,1.0,early_fade_rate,0.9642857142857144,0.880952380952381
nasa_battery_capacity_reviewer_clean_inner2,0.0,capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.0,early_fade_rate,0.8690476190476191,0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,0.001,capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.001,early_fade_rate,0.8214285714285716,0.5714285714285715
nasa_battery_capacity_reviewer_clean_inner2,0.01,capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.01,early_fade_rate,0.8214285714285716,0.5714285714285715
nasa_battery_capacity_reviewer_clean_inner2,0.1,capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,0.1,early_fade_rate,0.8809523809523809,0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,1.0,capacity_cycle1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner2,1.0,early_fade_rate,0.8095238095238096,0.523809523809524
