status,dataset,method,seed,source_result,anchor_labels,structure_validation_labels,upstream_query_target_leakage_max_q_difference,coordinate_box_max_violation,coordinate_clip_fraction,clip_l2_median,raw_q_validation_max_abs_z,functional_validation_max_abs_z,box_reference_nrmse,unconstrained_reference_nrmse,prediction_nrmse_ratio
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed0_q4_ed200e16f4e6/result.json,8,5,0.0,0.0,0.55,0.4069904689804402,2.1923623012432283,1.7478862494905216,2.008320195303603,1.6293931007385254,1.2325571983785424
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed1_q4_c01494fc23c7/result.json,8,5,0.0,0.0,0.6,0.2824660374887089,2.213173594927631,3.715859884965371,1.4417595178992684,1.386078953742981,1.0401712788480968
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed2_q4_dc2cfd5bb864/result.json,8,5,0.0,0.0,0.7,0.5590819480021066,2.5079762398820904,1.8603658001000245,1.7672361932438752,1.463534951210022,1.207512121102922
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed3_q4_8c7bd68b9982/result.json,8,5,0.0,0.0,0.55,0.6133429005198519,2.471313367433975,2.4355497027823647,2.0286453860568114,0.9645244479179382,2.1032596845377305
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed4_q4_7d347c9c389e/result.json,8,5,0.0,0.0,0.4,0.4757308214902879,1.8980026956325364,2.398311818785408,1.5727425484838586,1.002652883529663,1.5685812850278704
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed0_q4_55936bac92a3/result.json,8,5,0.0,0.0,0.55,0.3122430741786957,2.02900870411865,2.6336545271264127,1.2788317216716467,1.486914038658142,0.8600576014641181
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed1_q4_3ba7b5304459/result.json,8,5,0.0,0.0,0.65,0.8754746165164968,2.384177254438848,2.699684623470882,0.8826059186101954,1.1584558486938477,0.761881360955904
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed2_q4_8acc21f84a09/result.json,8,5,0.0,0.0,0.6,0.7722417152979427,2.15132945615662,3.026067356849222,0.980435554298279,1.1112419366836548,0.8822881156053658
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed3_q4_6e2d17c34741/result.json,8,5,0.0,0.0,0.6,0.537284582366319,2.5467966810817755,5.549145540457198,0.6962611597627012,1.378178596496582,0.5052038694641184
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed4_q4_a8400486f916/result.json,8,5,0.0,0.0,0.65,0.4481197735167717,2.2762076173071355,2.754674573335266,0.7145518831020565,1.7344210147857666,0.4119829482061004
