seed,family,pooled_r2,physical_rmse
0,functional_degree1,0.9419737118484731,0.06907154879610379
0,functional_degree2,0.9457547151568043,0.06678328783622252
0,functional_degree3,0.9486595912010551,0.06497053760287036
0,functional_degree4,0.9487183833604326,0.06493332663727018
0,raw_decoder,0.9484213623263915,0.06512110072591337
0,raw_q_ridge_req,-1.8907783160472502,0.48752197174761536
0,structure_req,0.9806678897093667,0.03986818191462734
1,functional_degree1,0.9159015201786004,0.08315356474520398
1,functional_degree2,0.9184710981698828,0.0818733565454572
1,functional_degree3,0.9211573813429601,0.08051324288434304
1,functional_degree4,0.9215192077528781,0.08032828379660086
1,raw_decoder,0.921039773842226,0.08057327027126104
1,raw_q_ridge_req,-0.4086821143027408,0.3403245660483196
1,structure_req,0.9806678897093667,0.03986818191462734
2,functional_degree1,0.9404868905904323,0.06995086994767394
2,functional_degree2,0.9427137923668764,0.06862965813460775
2,functional_degree3,0.9466063343306725,0.0662569847665193
2,functional_degree4,0.947037954949015,0.06598863917128407
2,raw_decoder,0.94710168652353,0.06594892369375341
2,raw_q_ridge_req,-3.261131976149631,0.5919012973460002
2,structure_req,0.9806678897093667,0.03986818191462734
