seed,family,pooled_r2,physical_rmse
0,functional_degree1,0.9331809124667085,0.07412028311657876
0,functional_degree2,0.9390542639355466,0.0707878077020136
0,functional_degree3,0.9418097656435812,0.06916905659190582
0,functional_degree4,0.9421821020057406,0.06894740870550117
0,raw_decoder,0.9423421108203962,0.06885193795253042
0,raw_q_ridge_req,-0.6239371657929977,0.36540241202422086
0,structure_req,0.9806678897093667,0.03986818191462734
1,functional_degree1,0.9286587089589136,0.0765873920755471
1,functional_degree2,0.929955797855196,0.07588796299293085
1,functional_degree3,0.9329149068539024,0.07426767234583219
1,functional_degree4,0.9330939058445141,0.0741685242535173
1,raw_decoder,0.933576987276231,0.07390028003288927
1,raw_q_ridge_req,-0.508135028268563,0.35213315081035745
1,structure_req,0.9806678897093667,0.03986818191462734
2,functional_degree1,0.9335386065295319,0.07392162759154537
2,functional_degree2,0.9382416567288041,0.07125816225386421
2,functional_degree3,0.9396668346904998,0.07043116214480709
2,functional_degree4,0.9399826218716943,0.07024659999345756
2,raw_decoder,0.9402059715565443,0.0701157697195558
2,raw_q_ridge_req,-0.7974822593686628,0.3844316233379089
2,structure_req,0.9806678897093667,0.03986818191462734
